file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Manager.java,org.trishinfotech.composite.Manager,class,4,9,2,16,0,0.6666667,0.6666667,6,0,6,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,46,4,2,0,0,0,7,2,9,6,8,3,0,0,2,36,1,0
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Employee.java,org.trishinfotech.composite.Employee,class,3,13,1,7,28,0.32051283,0.7051282,13,0,13,0,0,0,13,1,0,0,4,0,0,0,4,0,0,0,0,51,7,0,0,0,0,8,0,10,0,6,0,0,0,0,21,1025,0
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Work.java,org.trishinfotech.composite.Work,class,1,6,1,3,0,0.73333335,1.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,26,3,0,0,0,0,3,0,6,0,3,0,0,0,0,10,1,0
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Engineer.java,org.trishinfotech.composite.Engineer,class,4,4,2,10,4,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,25,1,0,0,0,0,6,1,2,3,4,2,0,0,2,23,1,0
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Main.java,org.trishinfotech.composite.Main,class,3,1,1,6,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,21,10,11,0,12,1,0,0,1,19,1,0
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Worker.java,org.trishinfotech.composite.Worker,interface,2,2,1,0,1,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/WorkLoader.java,org.trishinfotech.composite.WorkLoader,class,2,5,1,12,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,2,25,2,1,0,1,0,2,1,7,1,7,1,0,0,0,22,1,0
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Calculator.java,org.trishinfotech.composite.Calculator$Anonymous3,anonymous,0,3,1,5,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,20,1,1,1,1,0,2,4,8,4,5,2,0,0,0,13,-1,0
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Calculator.java,org.trishinfotech.composite.Calculator$Anonymous2,anonymous,0,3,1,6,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,1,0,1,1,0,3,0,2,1,0,0,0,7,-1,0
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Calculator.java,org.trishinfotech.composite.Calculator$Anonymous1,anonymous,0,3,1,5,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,17,1,1,0,1,0,2,2,6,1,4,2,0,0,0,14,-1,0
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Calculator.java,org.trishinfotech.composite.Calculator,enum,0,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,3,0,0,19,1,0
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Department.java,org.trishinfotech.composite.Department,enum,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
