file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Manager.java,org.trishinfotech.composite.Manager,"assignWork/2[org.trishinfotech.composite.Employee,org.trishinfotech.composite.Work]",managingEmployees,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Manager.java,org.trishinfotech.composite.Manager,performWork/0,managingEmployees,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Manager.java,org.trishinfotech.composite.Manager,stopManaging/1[org.trishinfotech.composite.Employee],managingEmployees,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Manager.java,org.trishinfotech.composite.Manager,teamSize/0,managingEmployees,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Manager.java,org.trishinfotech.composite.Manager,manages/1[org.trishinfotech.composite.Employee],managingEmployees,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Employee.java,org.trishinfotech.composite.Employee,setDepartment/1[org.trishinfotech.composite.Department],department,3
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Employee.java,org.trishinfotech.composite.Employee,"Employee/4[long,java.lang.String,java.lang.String,org.trishinfotech.composite.Department]",employeeName,3
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Employee.java,org.trishinfotech.composite.Employee,"Employee/4[long,java.lang.String,java.lang.String,org.trishinfotech.composite.Department]",employeeId,3
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Employee.java,org.trishinfotech.composite.Employee,"Employee/4[long,java.lang.String,java.lang.String,org.trishinfotech.composite.Department]",designation,3
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Employee.java,org.trishinfotech.composite.Employee,"Employee/4[long,java.lang.String,java.lang.String,org.trishinfotech.composite.Department]",department,3
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Employee.java,org.trishinfotech.composite.Employee,setEmployeeId/1[long],employeeId,3
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Employee.java,org.trishinfotech.composite.Employee,shortDetails/0,employeeName,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Employee.java,org.trishinfotech.composite.Employee,setDesignation/1[java.lang.String],designation,3
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Employee.java,org.trishinfotech.composite.Employee,fullDetails/0,employeeName,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Employee.java,org.trishinfotech.composite.Employee,fullDetails/0,employeeId,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Employee.java,org.trishinfotech.composite.Employee,fullDetails/0,designation,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Employee.java,org.trishinfotech.composite.Employee,fullDetails/0,department,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Employee.java,org.trishinfotech.composite.Employee,getEmployeeId/0,employeeId,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Employee.java,org.trishinfotech.composite.Employee,getDepartment/0,department,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Employee.java,org.trishinfotech.composite.Employee,setEmployeeName/1[java.lang.String],employeeName,3
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Employee.java,org.trishinfotech.composite.Employee,getDesignation/0,designation,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Employee.java,org.trishinfotech.composite.Employee,getEmployeeName/0,employeeName,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Work.java,org.trishinfotech.composite.Work,getWorkType/0,workType,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Work.java,org.trishinfotech.composite.Work,setWork/1[java.util.List<java.lang.String>],work,3
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Work.java,org.trishinfotech.composite.Work,toString/0,work,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Work.java,org.trishinfotech.composite.Work,toString/0,workType,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Work.java,org.trishinfotech.composite.Work,getWork/0,work,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Work.java,org.trishinfotech.composite.Work,"Work/2[org.trishinfotech.composite.Calculator,java.util.List<java.lang.String>]",work,3
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Work.java,org.trishinfotech.composite.Work,"Work/2[org.trishinfotech.composite.Calculator,java.util.List<java.lang.String>]",workType,3
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Work.java,org.trishinfotech.composite.Work,setWorkType/1[org.trishinfotech.composite.Calculator],workType,3
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Engineer.java,org.trishinfotech.composite.Engineer,"assignWork/2[org.trishinfotech.composite.Employee,org.trishinfotech.composite.Work]",works,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/Engineer.java,org.trishinfotech.composite.Engineer,performWork/0,works,3
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/WorkLoader.java,org.trishinfotech.composite.WorkLoader,getProperties/0,properties,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/WorkLoader.java,org.trishinfotech.composite.WorkLoader,WorkLoader/1[java.lang.String],properties,1
/root/DesignPatternsDetection/Data/Composite/BrijeshSaxena_design-pattern-composite/ckmetrics/../composite/src/main/java/org/trishinfotech/composite/WorkLoader.java,org.trishinfotech.composite.WorkLoader,getWorkList/0,properties,2
