file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/PriceDecorator.java,PriceDecorator,interface,1,2,1,0,1,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/CustomBurger.java,CustomBurger,class,3,4,2,3,1,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,16,0,1,0,0,0,2,0,2,1,2,1,0,0,0,18,1,0
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Leaf.java,Leaf,class,1,6,1,2,9,0.2,0.2,6,0,6,0,0,0,6,0,0,0,2,0,0,0,2,0,0,0,0,22,1,0,0,0,0,2,0,4,1,3,0,0,0,0,19,1,0
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Client.java,Client,class,2,1,1,2,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,1,0
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/LeafDecorator.java,LeafDecorator,class,3,6,2,3,15,0.0,0.0,6,0,6,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,1,1,0,0,0,0,0,20,1025,0
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Toppings.java,Toppings,class,1,13,3,1,1,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,26,1,2,0,0,0,9,10,13,1,4,2,0,0,0,19,1,0
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Component.java,Component,interface,1,4,1,0,6,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Premium.java,Premium,class,1,13,3,1,1,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,26,1,2,0,0,0,9,10,13,1,4,2,0,0,0,20,1,0
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/BuildOrder.java,BuildOrder,class,10,1,1,8,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,20,2,12,0,12,0,0,0,0,31,1,0
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Composite.java,Composite,class,1,6,1,5,0,0.7,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,0,2,0,0,0,0,22,1,1,0,0,0,0,0,2,0,2,1,0,0,0,14,1,0
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Cheese.java,Cheese,class,1,10,3,1,1,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,23,1,2,0,0,0,6,7,10,1,4,2,0,0,0,34,1,0
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Burger.java,Burger,class,1,10,3,1,1,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,23,1,2,0,0,0,6,7,10,1,4,2,0,0,0,33,1,0
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Sauce.java,Sauce,class,1,13,3,1,1,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,26,1,2,0,0,0,9,10,13,1,4,2,0,0,0,19,1,0
