file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/CustomBurger.java,CustomBurger,setDecorator/1[LeafDecorator],price,1
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/CustomBurger.java,CustomBurger,printDescription/0,price,1
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Leaf.java,Leaf,"Leaf/2[java.lang.String,java.lang.Double]",price,1
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Leaf.java,Leaf,"Leaf/2[java.lang.String,java.lang.Double]",description,1
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Leaf.java,Leaf,Leaf/1[java.lang.String],description,1
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Leaf.java,Leaf,printDescription/0,price,1
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Leaf.java,Leaf,printDescription/0,description,1
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Toppings.java,Toppings,setOptions/1[java.lang.String[]],options,10
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Toppings.java,Toppings,getDescription/0,options,2
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Premium.java,Premium,setOptions/1[java.lang.String[]],options,10
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Premium.java,Premium,getDescription/0,options,2
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Composite.java,Composite,Composite/1[java.lang.String],description,1
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Composite.java,Composite,printDescription/0,components,1
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Composite.java,Composite,printDescription/0,description,1
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Composite.java,Composite,getChild/1[int],components,1
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Composite.java,Composite,removeChild/1[Component],components,1
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Composite.java,Composite,addChild/1[Component],components,1
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Cheese.java,Cheese,getDescription/0,options,2
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Cheese.java,Cheese,setOptions/1[java.lang.String[]],options,7
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Burger.java,Burger,setOptions/1[java.lang.String[]],options,7
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Burger.java,Burger,getDescription/0,options,2
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Sauce.java,Sauce,setOptions/1[java.lang.String[]],options,10
/root/DesignPatternsDetection/Data/Composite/rachelee_BurgerMenu/ckmetrics/../composite/Sauce.java,Sauce,getDescription/0,options,2
