file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Decorator/mervebasak_Decorator-Pattern-Example/ckmetrics/../src/main/java/waffle_decorator/fruits/BaseFruit.java,waffle_decorator.fruits.BaseFruit,BaseFruit/1[waffle_dough.BaseWaffle],waffleToDecorate,1
/root/DesignPatternsDetection/Data/Decorator/mervebasak_Decorator-Pattern-Example/ckmetrics/../src/main/java/waffle_decorator/fruits/Banana.java,waffle_decorator.fruits.Banana,Banana/1[waffle_dough.BaseWaffle],waffleToDecorate,1
/root/DesignPatternsDetection/Data/Decorator/mervebasak_Decorator-Pattern-Example/ckmetrics/../src/main/java/waffle_decorator/fruits/Pineapple.java,waffle_decorator.fruits.Pineapple,Pineapple/1[waffle_dough.BaseWaffle],waffleToDecorate,1
/root/DesignPatternsDetection/Data/Decorator/mervebasak_Decorator-Pattern-Example/ckmetrics/../src/main/java/waffle_decorator/fruits/Strawberry.java,waffle_decorator.fruits.Strawberry,Strawberry/1[waffle_dough.BaseWaffle],waffleToDecorate,1
/root/DesignPatternsDetection/Data/Decorator/mervebasak_Decorator-Pattern-Example/ckmetrics/../src/main/java/waffle_decorator/fruits/Kiwi.java,waffle_decorator.fruits.Kiwi,Kiwi/1[waffle_dough.BaseWaffle],waffleToDecorate,1
/root/DesignPatternsDetection/Data/Decorator/mervebasak_Decorator-Pattern-Example/ckmetrics/../src/main/java/waffle_decorator/sauce/RaspberrySauce.java,waffle_decorator.sauce.RaspberrySauce,RaspberrySauce/1[waffle_dough.BaseWaffle],waffleToDecorate,1
/root/DesignPatternsDetection/Data/Decorator/mervebasak_Decorator-Pattern-Example/ckmetrics/../src/main/java/waffle_decorator/sauce/ChocolateSauce.java,waffle_decorator.sauce.ChocolateSauce,ChocolateSauce/1[waffle_dough.BaseWaffle],waffleToDecorate,1
/root/DesignPatternsDetection/Data/Decorator/mervebasak_Decorator-Pattern-Example/ckmetrics/../src/main/java/waffle_decorator/sauce/BaseSauce.java,waffle_decorator.sauce.BaseSauce,BaseSauce/1[waffle_dough.BaseWaffle],waffleToDecorate,1
/root/DesignPatternsDetection/Data/Decorator/mervebasak_Decorator-Pattern-Example/ckmetrics/../src/main/java/waffle_decorator/sauce/CaramelSauce.java,waffle_decorator.sauce.CaramelSauce,CaramelSauce/1[waffle_dough.BaseWaffle],waffleToDecorate,1
/root/DesignPatternsDetection/Data/Decorator/mervebasak_Decorator-Pattern-Example/ckmetrics/../src/main/java/waffle_decorator/chocolate/Caramel.java,waffle_decorator.chocolate.Caramel,Caramel/1[waffle_dough.BaseWaffle],waffleToDecorate,1
/root/DesignPatternsDetection/Data/Decorator/mervebasak_Decorator-Pattern-Example/ckmetrics/../src/main/java/waffle_decorator/chocolate/BaseChocolate.java,waffle_decorator.chocolate.BaseChocolate,BaseChocolate/1[waffle_dough.BaseWaffle],waffleToDecorate,1
/root/DesignPatternsDetection/Data/Decorator/mervebasak_Decorator-Pattern-Example/ckmetrics/../src/main/java/waffle_decorator/chocolate/DarkChocolate.java,waffle_decorator.chocolate.DarkChocolate,DarkChocolate/1[waffle_dough.BaseWaffle],waffleToDecorate,1
/root/DesignPatternsDetection/Data/Decorator/mervebasak_Decorator-Pattern-Example/ckmetrics/../src/main/java/waffle_decorator/chocolate/WhiteChocolate.java,waffle_decorator.chocolate.WhiteChocolate,WhiteChocolate/1[waffle_dough.BaseWaffle],waffleToDecorate,1
/root/DesignPatternsDetection/Data/Decorator/mervebasak_Decorator-Pattern-Example/ckmetrics/../src/main/java/waffle_decorator/chocolate/MilkyChocolate.java,waffle_decorator.chocolate.MilkyChocolate,MilkyChocolate/1[waffle_dough.BaseWaffle],waffleToDecorate,1
/root/DesignPatternsDetection/Data/Decorator/mervebasak_Decorator-Pattern-Example/ckmetrics/../src/main/java/waffle_decorator/chocolate/Nutella.java,waffle_decorator.chocolate.Nutella,Nutella/1[waffle_dough.BaseWaffle],waffleToDecorate,1
/root/DesignPatternsDetection/Data/Decorator/mervebasak_Decorator-Pattern-Example/ckmetrics/../src/main/java/waffle_decorator/nuts/BaseNuts.java,waffle_decorator.nuts.BaseNuts,BaseNuts/1[waffle_dough.BaseWaffle],waffleToDecorate,1
/root/DesignPatternsDetection/Data/Decorator/mervebasak_Decorator-Pattern-Example/ckmetrics/../src/main/java/waffle_decorator/nuts/Hazelnut.java,waffle_decorator.nuts.Hazelnut,Hazelnut/1[waffle_dough.BaseWaffle],waffleToDecorate,1
/root/DesignPatternsDetection/Data/Decorator/mervebasak_Decorator-Pattern-Example/ckmetrics/../src/main/java/waffle_decorator/nuts/Coconut.java,waffle_decorator.nuts.Coconut,Coconut/1[waffle_dough.BaseWaffle],waffleToDecorate,1
