file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/Main.java,org.trishinfotech.facade.Main,main/1[java.lang.String[]],false,7,1,1,6,21,0,1,1,6,0,0,0,0,0,0,19,0,1,0,0,0,0,0,19,9,0,false
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/HomeFacade.java,org.trishinfotech.facade.HomeFacade,HomeFacade/0,true,34,10,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,31,1,0,false
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/HomeFacade.java,org.trishinfotech.facade.HomeFacade,stopMovie/0,false,77,3,1,3,8,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,false
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/HomeFacade.java,org.trishinfotech.facade.HomeFacade,closeKitchen/0,false,86,2,1,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/HomeFacade.java,org.trishinfotech.facade.HomeFacade,prepareFood/1[java.util.List<java.lang.String>],false,65,3,1,6,10,0,1,1,6,0,0,0,0,0,0,0,4,0,0,0,0,0,1,5,1,0,false
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/HomeFacade.java,org.trishinfotech.facade.HomeFacade,playMovieOnNetflix/1[java.lang.String],false,49,6,1,9,15,0,0,1,9,0,0,0,0,0,2,3,1,0,0,0,0,0,0,13,1,0,false
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/devices/livingroom/LivingRoomLight.java,org.trishinfotech.facade.devices.livingroom.LivingRoomLight,bright/0,false,18,0,1,1,4,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/devices/livingroom/LivingRoomLight.java,org.trishinfotech.facade.devices.livingroom.LivingRoomLight,LivingRoomLight/0,true,9,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/devices/livingroom/LivingRoomLight.java,org.trishinfotech.facade.devices.livingroom.LivingRoomLight,dim/0,false,13,0,1,1,4,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/devices/livingroom/LivingRoomFireTV4KStick.java,org.trishinfotech.facade.devices.livingroom.LivingRoomFireTV4KStick,openApp/1[java.lang.String],false,18,0,1,1,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/devices/livingroom/LivingRoomFireTV4KStick.java,org.trishinfotech.facade.devices.livingroom.LivingRoomFireTV4KStick,selectContent/1[java.lang.String],false,23,0,1,1,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,0,false
