file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/Main.java,org.trishinfotech.facade.Main,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/Main.java,org.trishinfotech.facade.Main,main/1[java.lang.String[]],home,4
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/HomeFacade.java,org.trishinfotech.facade.HomeFacade,prepareFood/1[java.util.List<java.lang.String>],pizzaNames,1
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/HomeFacade.java,org.trishinfotech.facade.HomeFacade,prepareFood/1[java.util.List<java.lang.String>],pizzaName,1
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/HomeFacade.java,org.trishinfotech.facade.HomeFacade,playMovieOnNetflix/1[java.lang.String],movieName,1
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/devices/livingroom/LivingRoomFireTV4KStick.java,org.trishinfotech.facade.devices.livingroom.LivingRoomFireTV4KStick,openApp/1[java.lang.String],appName,3
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/devices/livingroom/LivingRoomFireTV4KStick.java,org.trishinfotech.facade.devices.livingroom.LivingRoomFireTV4KStick,selectContent/1[java.lang.String],contentName,3
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/devices/livingroom/LivingRoomFireTV4KStick.java,org.trishinfotech.facade.devices.livingroom.LivingRoomFireTV4KStick,LivingRoomFireTV4KStick/1[org.trishinfotech.facade.devices.TV],tv,2
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/devices/livingroom/LivingRoomSoundBar.java,org.trishinfotech.facade.devices.livingroom.LivingRoomSoundBar,LivingRoomSoundBar/1[org.trishinfotech.facade.devices.TV],tv,2
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/devices/livingroom/LivingRoomTV.java,org.trishinfotech.facade.devices.livingroom.LivingRoomTV,setSource/1[java.lang.String],source,3
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/devices/TV.java,org.trishinfotech.facade.devices.TV,TV/1[java.lang.String],name,1
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/devices/Light.java,org.trishinfotech.facade.devices.Light,Light/1[java.lang.String],name,1
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/devices/Fan.java,org.trishinfotech.facade.devices.Fan,Fan/1[java.lang.String],name,1
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/devices/Appliance.java,org.trishinfotech.facade.devices.Appliance,Appliance/1[java.lang.String],name,4
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/devices/Appliance.java,org.trishinfotech.facade.devices.Appliance,compareTo/1[org.trishinfotech.facade.devices.Appliance],other,1
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/devices/kitchen/Microwave.java,org.trishinfotech.facade.devices.kitchen.Microwave,"bake/3[java.lang.String,int,int]",temp,3
/root/DesignPatternsDetection/Data/Facade/BrijeshSaxena_design-pattern-facade/ckmetrics/../facade/src/main/java/org/trishinfotech/facade/devices/kitchen/Microwave.java,org.trishinfotech.facade.devices.kitchen.Microwave,"bake/3[java.lang.String,int,int]",time,3
