file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Factory/Balinator_factoryMethod/ckmetrics/../src/src/transport/Transport.java,src.transport.Transport,setFuel/1[double],fuel,3
/root/DesignPatternsDetection/Data/Factory/Balinator_factoryMethod/ckmetrics/../src/src/transport/Transport.java,src.transport.Transport,setCapacity/1[double],capacity,3
/root/DesignPatternsDetection/Data/Factory/Balinator_factoryMethod/ckmetrics/../src/src/transport/Transport.java,src.transport.Transport,getCapacity/0,capacity,1
/root/DesignPatternsDetection/Data/Factory/Balinator_factoryMethod/ckmetrics/../src/src/transport/Transport.java,src.transport.Transport,getFuel/0,fuel,1
/root/DesignPatternsDetection/Data/Factory/Balinator_factoryMethod/ckmetrics/../src/src/Controller.java,src.Console,Console/1[src.TextArea],output,1
/root/DesignPatternsDetection/Data/Factory/Balinator_factoryMethod/ckmetrics/../src/src/Controller.java,src.Console,write/1[int],output,1
/root/DesignPatternsDetection/Data/Factory/Balinator_factoryMethod/ckmetrics/../src/src/Controller.java,src.Controller,doTheWork/1[src.transport.ITransport],address,1
/root/DesignPatternsDetection/Data/Factory/Balinator_factoryMethod/ckmetrics/../src/src/Controller.java,src.Controller,printOutput/0,image,7
/root/DesignPatternsDetection/Data/Factory/Balinator_factoryMethod/ckmetrics/../src/src/Controller.java,src.Controller,printOutput/0,address,6
/root/DesignPatternsDetection/Data/Factory/Balinator_factoryMethod/ckmetrics/../src/src/Controller.java,src.Controller,printOutput/0,fuel,2
/root/DesignPatternsDetection/Data/Factory/Balinator_factoryMethod/ckmetrics/../src/src/Controller.java,src.Controller,printOutput/0,x,3
/root/DesignPatternsDetection/Data/Factory/Balinator_factoryMethod/ckmetrics/../src/src/Controller.java,src.Controller,printOutput/0,type,6
/root/DesignPatternsDetection/Data/Factory/Balinator_factoryMethod/ckmetrics/../src/src/Controller.java,src.Controller,printOutput/0,capacity,3
/root/DesignPatternsDetection/Data/Factory/Balinator_factoryMethod/ckmetrics/../src/src/Controller.java,src.Controller,initialize/0,output,1
/root/DesignPatternsDetection/Data/Factory/Balinator_factoryMethod/ckmetrics/../src/src/Controller.java,src.Controller,initialize/0,REGEX,2
/root/DesignPatternsDetection/Data/Factory/Balinator_factoryMethod/ckmetrics/../src/src/Controller.java,src.Controller,initialize/0,fuel,2
/root/DesignPatternsDetection/Data/Factory/Balinator_factoryMethod/ckmetrics/../src/src/Controller.java,src.Controller,initialize/0,capacity,2
