file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../TcpServer.java,java_exercise.TcpServer,toString/0,ss,1
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../TcpServer.java,java_exercise.TcpServer,TcpServer/0,ss,1
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../TcpServer.java,java_exercise.TcpServer,TcpServer/0,PORT,1
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../TcpServer.java,java_exercise.TcpServer,TcpServer/0,executor,1
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../TcpServer.java,java_exercise.TcpServer,TcpServer/0,POOL_SIZE,1
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../TcpServer.java,java_exercise.TcpServer,getInstance/0,instance,3
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../TcpServer.java,java_exercise.TcpServer,getInstance/0,syncObject,1
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../TcpServer.java,java_exercise.TcpServer,listen/0,ss,1
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../TcpServer.java,java_exercise.TcpServer,listen/0,executor,1
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../TcpServer.java,java_exercise.TcpServer,listen/0,Factory,1
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../ClientTask.java,java_exercise.ClientTask,run/0,state,1
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../ClientTask.java,java_exercise.ClientTask,ClientTask/1[int],state,3
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../TcpClient.java,java_exercise.TcpClient,fire/0,POOL_SIZE,1
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../TcpClient.java,java_exercise.TcpClient,fire/0,Factory,1
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../TcpClient.java,java_exercise.TcpClient,fire/0,RUNS,1
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../ServerTask.java,java_exercise.ServerTask,run/0,in,1
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../ServerTask.java,java_exercise.ServerTask,run/0,socket,1
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../ServerTask.java,java_exercise.ServerTask,run/0,out,2
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../ServerTask.java,java_exercise.ServerTask,toString/0,socket,1
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../ServerTask.java,java_exercise.ServerTask,ServerTask/1[java.net.Socket],in,1
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../ServerTask.java,java_exercise.ServerTask,ServerTask/1[java.net.Socket],socket,5
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../ServerTask.java,java_exercise.ServerTask,ServerTask/1[java.net.Socket],out,1
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../ShippableTask.java,java_exercise.ShippableTask,ShippableTask/1[int],state,3
/root/DesignPatternsDetection/Data/Factory/Blueshifty_Factory-Pattern/ckmetrics/../ShippableTask.java,java_exercise.ShippableTask,execute/0,state,1
