file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Factory/CSE-110-Winter-2018_SimpleFactoryPattern/ckmetrics/../src/ToyCarFactory.java,ToyCarFactory,inject/1[java.lang.String],carType,2
/root/DesignPatternsDetection/Data/Factory/CSE-110-Winter-2018_SimpleFactoryPattern/ckmetrics/../src/ToyCarFactory.java,ToyCarFactory,inject/1[java.lang.String],car,1
/root/DesignPatternsDetection/Data/Factory/CSE-110-Winter-2018_SimpleFactoryPattern/ckmetrics/../src/Distributor.java,Distributor,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Factory/CSE-110-Winter-2018_SimpleFactoryPattern/ckmetrics/../src/Distributor.java,Distributor,main/1[java.lang.String[]],myToys,4
/root/DesignPatternsDetection/Data/Factory/CSE-110-Winter-2018_SimpleFactoryPattern/ckmetrics/../src/Distributor.java,Distributor,main/1[java.lang.String[]],mCarFactory,4
/root/DesignPatternsDetection/Data/Factory/CSE-110-Winter-2018_SimpleFactoryPattern/ckmetrics/../src/Distributor.java,Distributor,main/1[java.lang.String[]],toyName,1
/root/DesignPatternsDetection/Data/Factory/CSE-110-Winter-2018_SimpleFactoryPattern/ckmetrics/../src/Distributor.java,Distributor,main/1[java.lang.String[]],t,1
/root/DesignPatternsDetection/Data/Factory/CSE-110-Winter-2018_SimpleFactoryPattern/ckmetrics/../src/Distributor.java,Distributor,main/1[java.lang.String[]],mDuckFactory,3
/root/DesignPatternsDetection/Data/Factory/CSE-110-Winter-2018_SimpleFactoryPattern/ckmetrics/../src/Distributor.java,Distributor,main/1[java.lang.String[]],myHuntingDecoy,1
/root/DesignPatternsDetection/Data/Factory/CSE-110-Winter-2018_SimpleFactoryPattern/ckmetrics/../src/Distributor.java,Distributor,main/1[java.lang.String[]],myLittleTesla,1
/root/DesignPatternsDetection/Data/Factory/CSE-110-Winter-2018_SimpleFactoryPattern/ckmetrics/../src/Distributor.java,Distributor,main/1[java.lang.String[]],myLittleFerrari,1
/root/DesignPatternsDetection/Data/Factory/CSE-110-Winter-2018_SimpleFactoryPattern/ckmetrics/../src/ToyFactory.java,ToyFactory,isOptionAvailable/1[java.lang.String],opt,1
/root/DesignPatternsDetection/Data/Factory/CSE-110-Winter-2018_SimpleFactoryPattern/ckmetrics/../src/ToyFactory.java,ToyFactory,inject/1[java.lang.String],s,0
/root/DesignPatternsDetection/Data/Factory/CSE-110-Winter-2018_SimpleFactoryPattern/ckmetrics/../src/ToyFactory.java,ToyFactory,addOption/1[java.lang.String],newToyType,1
/root/DesignPatternsDetection/Data/Factory/CSE-110-Winter-2018_SimpleFactoryPattern/ckmetrics/../src/Toy.java,Toy,Toy/1[java.lang.String],toy,1
/root/DesignPatternsDetection/Data/Factory/CSE-110-Winter-2018_SimpleFactoryPattern/ckmetrics/../src/ToyDuckFactory.java,ToyDuckFactory,inject/1[java.lang.String],car,1
/root/DesignPatternsDetection/Data/Factory/CSE-110-Winter-2018_SimpleFactoryPattern/ckmetrics/../src/ToyDuckFactory.java,ToyDuckFactory,inject/1[java.lang.String],duckType,2
