file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter04/Client.java,chapter04.Client,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter04/Client.java,chapter04.Client,main/1[java.lang.String[]],van,1
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter04/Client.java,chapter04.Client,main/1[java.lang.String[]],car,1
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter04/Client.java,chapter04.Client,main/1[java.lang.String[]],carFactory,1
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter04/Client.java,chapter04.Client,main/1[java.lang.String[]],vanFactory,1
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter04/VehicleFactory.java,chapter04.VehicleFactory,selectVehicle/1[chapter04.VehicleFactory.DrivingStyle],style,0
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter04/VehicleFactory.java,chapter04.VehicleFactory,"build/2[chapter04.VehicleFactory.DrivingStyle,chapter01.Vehicle.Colour]",colour,1
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter04/VehicleFactory.java,chapter04.VehicleFactory,"build/2[chapter04.VehicleFactory.DrivingStyle,chapter01.Vehicle.Colour]",v,2
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter04/VehicleFactory.java,chapter04.VehicleFactory,"build/2[chapter04.VehicleFactory.DrivingStyle,chapter01.Vehicle.Colour]",style,1
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter04/VanFactory.java,chapter04.VanFactory,selectVehicle/1[chapter04.VehicleFactory.DrivingStyle],style,2
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter04/CarFactory.java,chapter04.CarFactory,selectVehicle/1[chapter04.VehicleFactory.DrivingStyle],style,2
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter01/Sport.java,chapter01.Sport,Sport/1[chapter01.Engine],engine,1
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter01/Sport.java,chapter01.Sport,"Sport/2[chapter01.Engine,chapter01.Vehicle.Colour]",colour,1
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter01/Sport.java,chapter01.Sport,"Sport/2[chapter01.Engine,chapter01.Vehicle.Colour]",engine,1
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter01/Vehicle.java,chapter01.Vehicle,paint/1[chapter01.Vehicle.Colour],colour,0
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter01/StandardEngine.java,chapter01.StandardEngine,StandardEngine/1[int],size,1
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter01/AbstractVan.java,chapter01.AbstractVan,AbstractVan/1[chapter01.Engine],engine,1
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter01/AbstractVan.java,chapter01.AbstractVan,"AbstractVan/2[chapter01.Engine,chapter01.Vehicle.Colour]",colour,1
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter01/AbstractVan.java,chapter01.AbstractVan,"AbstractVan/2[chapter01.Engine,chapter01.Vehicle.Colour]",engine,1
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter01/Client.java,chapter01.Client,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter01/Client.java,chapter01.Client,main/1[java.lang.String[]],van,1
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter01/Client.java,chapter01.Client,main/1[java.lang.String[]],car,1
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter01/Client.java,chapter01.Client,main/1[java.lang.String[]],engine2,2
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter01/Client.java,chapter01.Client,main/1[java.lang.String[]],engine1,2
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter01/AbstractEngine.java,chapter01.AbstractEngine,"AbstractEngine/2[int,boolean]",size,2
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter01/AbstractEngine.java,chapter01.AbstractEngine,"AbstractEngine/2[int,boolean]",turbo,2
/root/DesignPatternsDetection/Data/Factory/Dr-Vail_cs453ch04/ckmetrics/../src/chapter01/Pickup.java,chapter01.Pickup,"Pickup/2[chapter01.Engine,chapter01.Vehicle.Colour]",colour,1
