file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/RectangleFactory.java,com.company.RectangleFactory,"create/2[double,double]",sideB,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/RectangleFactory.java,com.company.RectangleFactory,"create/2[double,double]",sideA,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Triangle.java,com.company.Triangle,equals/1[java.lang.Object],triangle,3
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Triangle.java,com.company.Triangle,equals/1[java.lang.Object],o,3
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Triangle.java,com.company.Triangle,setSideB/1[double],sideB,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Triangle.java,com.company.Triangle,"Triangle/3[double,double,double]",sideC,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Triangle.java,com.company.Triangle,"Triangle/3[double,double,double]",sideB,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Triangle.java,com.company.Triangle,"Triangle/3[double,double,double]",sideA,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Triangle.java,com.company.Triangle,setSideA/1[double],sideA,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Triangle.java,com.company.Triangle,setSideC/1[double],sideC,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Triangle.java,com.company.Triangle,"Triangle/2[double,double]",sideB,4
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Triangle.java,com.company.Triangle,"Triangle/2[double,double]",sideA,4
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/MyRectangle.java,com.company.MyRectangle,"MyRectangle/2[double,double]",sideB,3
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/MyRectangle.java,com.company.MyRectangle,"MyRectangle/2[double,double]",sideA,3
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/MyRectangle.java,com.company.MyRectangle,setSideA/1[double],sideA,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/MyRectangle.java,com.company.MyRectangle,setSideB/1[double],sideB,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/MyRectangle.java,com.company.MyRectangle$Builder,setSideB/1[double],side,1
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/MyRectangle.java,com.company.MyRectangle$Builder,setSimilarTo/1[com.company.MyRectangle],rectangle,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/MyRectangle.java,com.company.MyRectangle$Builder,setSideA/1[double],side,1
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/SquareFactory.java,com.company.SquareFactory,"create/2[double,double]",sideB,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/SquareFactory.java,com.company.SquareFactory,"create/2[double,double]",sideA,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Main.java,com.company.Main,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Main.java,com.company.Main,main/1[java.lang.String[]],square,0
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Main.java,com.company.Main,main/1[java.lang.String[]],newRectangle,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Main.java,com.company.Main,main/1[java.lang.String[]],rectangle,0
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Cube.java,com.company.Cube,Cube/1[double],sideA,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Cube.java,com.company.Cube,setSideA/1[double],sideA,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/AbstractFactory.java,com.company.AbstractFactory,"create/3[double,double,com.company.Figure]",a,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/AbstractFactory.java,com.company.AbstractFactory,"create/3[double,double,com.company.Figure]",b,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/AbstractFactory.java,com.company.AbstractFactory,"create/3[double,double,com.company.Figure]",figure,1
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Rectangle.java,com.company.Rectangle,setSideB/1[double],sideB,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Rectangle.java,com.company.Rectangle,setSideA/1[double],sideA,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Rectangle.java,com.company.Rectangle,"Rectangle/2[double,double]",sideB,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Rectangle.java,com.company.Rectangle,"Rectangle/2[double,double]",sideA,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Square.java,com.company.Square,"Square/2[double,double]",sideA1,1
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/Square.java,com.company.Square,"Square/2[double,double]",sideB1,1
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/TriangleFactory.java,com.company.TriangleFactory,"create/3[double,double,double]",sideC,4
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/TriangleFactory.java,com.company.TriangleFactory,"create/3[double,double,double]",sideB,4
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/TriangleFactory.java,com.company.TriangleFactory,"create/3[double,double,double]",sideA,4
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/LabaPerson.java,com.company.LabaPerson,setVariant/1[int],variant,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/LabaPerson.java,com.company.LabaPerson,setName/1[java.lang.String],name,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/LabaPerson.java,com.company.LabaPerson,"LabaPerson/3[com.company.MyRectangle,int,java.lang.String]",variant,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/LabaPerson.java,com.company.LabaPerson,"LabaPerson/3[com.company.MyRectangle,int,java.lang.String]",name,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/LabaPerson.java,com.company.LabaPerson,"LabaPerson/3[com.company.MyRectangle,int,java.lang.String]",myRectangle,2
/root/DesignPatternsDetection/Data/Factory/ETZ2017_patternsJava/ckmetrics/../src/com/company/LabaPerson.java,com.company.LabaPerson,setMyRectangle/1[com.company.MyRectangle],myRectangle,2
