file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Factory/LTDO_Student-Marks-Project/ckmetrics/../src/test/java/za/ac/cput/Repository/UserRepositoryTest.java,za.ac.cput.Repository.UserRepositoryTest,a_create/0,created,2
/root/DesignPatternsDetection/Data/Factory/LTDO_Student-Marks-Project/ckmetrics/../src/test/java/za/ac/cput/Repository/UserRepositoryTest.java,za.ac.cput.Repository.UserRepositoryTest,e_delete/0,success,2
/root/DesignPatternsDetection/Data/Factory/LTDO_Student-Marks-Project/ckmetrics/../src/test/java/za/ac/cput/Repository/UserRepositoryTest.java,za.ac.cput.Repository.UserRepositoryTest,b_read/0,read,3
/root/DesignPatternsDetection/Data/Factory/LTDO_Student-Marks-Project/ckmetrics/../src/test/java/za/ac/cput/Repository/UserRepositoryTest.java,za.ac.cput.Repository.UserRepositoryTest,c_update/0,updated,2
/root/DesignPatternsDetection/Data/Factory/LTDO_Student-Marks-Project/ckmetrics/../src/test/java/za/ac/cput/Factory/SubjectFactoryTest.java,za.ac.cput.Factory.SubjectFactoryTest,testNotNullValues/0,p1,2
/root/DesignPatternsDetection/Data/Factory/LTDO_Student-Marks-Project/ckmetrics/../src/test/java/za/ac/cput/Factory/SubjectFactoryTest.java,za.ac.cput.Factory.SubjectFactoryTest,testNotNullValues/0,p2,2
/root/DesignPatternsDetection/Data/Factory/LTDO_Student-Marks-Project/ckmetrics/../src/test/java/za/ac/cput/Factory/SubjectFactoryTest.java,za.ac.cput.Factory.SubjectFactoryTest,testNotNullValues/0,userid,0
/root/DesignPatternsDetection/Data/Factory/LTDO_Student-Marks-Project/ckmetrics/../src/test/java/za/ac/cput/Factory/SubjectFactoryTest.java,za.ac.cput.Factory.SubjectFactoryTest,timeoutPass/0,arr,2
/root/DesignPatternsDetection/Data/Factory/LTDO_Student-Marks-Project/ckmetrics/../src/test/java/za/ac/cput/Factory/SubjectFactoryTest.java,za.ac.cput.Factory.SubjectFactoryTest,timeoutPass/0,x,4
/root/DesignPatternsDetection/Data/Factory/LTDO_Student-Marks-Project/ckmetrics/../src/test/java/za/ac/cput/Factory/SubjectFactoryTest.java,za.ac.cput.Factory.SubjectFactoryTest,objectIdentity/0,subjectCode,1
/root/DesignPatternsDetection/Data/Factory/LTDO_Student-Marks-Project/ckmetrics/../src/test/java/za/ac/cput/Factory/SubjectFactoryTest.java,za.ac.cput.Factory.SubjectFactoryTest,objectIdentity/0,subjectName,1
