file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/AbstractFactory/IThemeFactory.java,AbstractFactory.IThemeFactory,createButton/0,false,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/AbstractFactory/StarWarsTheme.java,AbstractFactory.StarWarsTheme,createButton/0,false,8,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/AbstractFactory/StarWarsThemeButton.java,AbstractFactory.StarWarsThemeButton,StarWarsThemeButton/0,true,7,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/AbstractFactory/Window.java,AbstractFactory.Window,Window/0,true,20,2,1,7,25,0,3,0,7,0,0,0,0,0,0,3,2,3,0,0,1,0,0,19,1,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/AbstractFactory/Window.java,AbstractFactory.Window,main/1[java.lang.String[]],false,55,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/AbstractFactory/Window.java,AbstractFactory.Window$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,37,1,2,7,10,0,0,1,7,0,0,0,0,1,0,0,1,0,0,1,0,0,0,7,1,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/AbstractFactory/MarioThemeButton.java,AbstractFactory.MarioThemeButton,MarioThemeButton/0,true,7,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/AbstractFactory/MarioTheme.java,AbstractFactory.MarioTheme,createButton/0,false,8,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/Adapteur/AdapteurAvion.java,Adapteur.AdapteurAvion,getLongueur/0,false,18,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/Adapteur/AdapteurAvion.java,Adapteur.AdapteurAvion,toString/0,false,23,1,1,2,3,1,0,0,2,2,1,0,0,0,0,3,0,0,1,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/Adapteur/AdapteurAvion.java,Adapteur.AdapteurAvion,AdapteurAvion/1[Adapteur.PisteAvion],true,8,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/Adapteur/AdapteurAvion.java,Adapteur.AdapteurAvion,getLargeur/0,false,13,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/Adapteur/Main.java,Adapteur.Main,main/1[java.lang.String[]],false,5,5,1,2,9,0,5,1,2,0,0,0,0,0,0,0,4,5,0,0,0,0,0,12,9,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/Adapteur/PisteBowling.java,Adapteur.PisteBowling,toString/0,false,14,1,1,2,3,1,0,0,2,2,1,0,0,0,0,3,0,0,1,0,0,0,0,6,1,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/Adapteur/PisteBowling.java,Adapteur.PisteBowling,getLargeur/0,false,19,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/Adapteur/PisteBowling.java,Adapteur.PisteBowling,"PisteBowling/2[int,int]",true,8,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/Adapteur/PisteBowling.java,Adapteur.PisteBowling,getLongueur/0,false,24,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/Adapteur/Boule.java,Adapteur.Boule,lancer/0,false,11,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/Adapteur/Boule.java,Adapteur.Boule,Boule/1[Adapteur.Piste],true,7,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/Adapteur/PisteAvion.java,Adapteur.PisteAvion,getDemiLongueur/0,false,17,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/Adapteur/PisteAvion.java,Adapteur.PisteAvion,toString/0,false,13,1,1,2,3,1,0,0,2,2,1,0,0,0,0,3,0,0,1,0,0,0,0,7,1,0,false
/root/DesignPatternsDetection/Data/Factory/MedinaAlex_FactoryMethod/ckmetrics/../src/Adapteur/PisteAvion.java,Adapteur.PisteAvion,"PisteAvion/2[int,int]",true,8,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
