file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Factory/alif2165_Factory-Pattern-in-Spring-MVC/ckmetrics/../src/main/java/com/ali/factorypattern/service/ComputerScience.java,com.ali.factorypattern.service.ComputerScience,enrollProgram/1[java.lang.String],stuName,1
/root/DesignPatternsDetection/Data/Factory/alif2165_Factory-Pattern-in-Spring-MVC/ckmetrics/../src/main/java/com/ali/factorypattern/service/ComputerScience.java,com.ali.factorypattern.service.ComputerScience,getCourses/0,courses,1
/root/DesignPatternsDetection/Data/Factory/alif2165_Factory-Pattern-in-Spring-MVC/ckmetrics/../src/main/java/com/ali/factorypattern/service/ProgramFactory.java,com.ali.factorypattern.service.ProgramFactory,getProgram/1[java.lang.String],program,3
/root/DesignPatternsDetection/Data/Factory/alif2165_Factory-Pattern-in-Spring-MVC/ckmetrics/../src/main/java/com/ali/factorypattern/service/ProgramFactory.java,com.ali.factorypattern.service.ProgramFactory,getProgram/1[java.lang.String],prgm,1
/root/DesignPatternsDetection/Data/Factory/alif2165_Factory-Pattern-in-Spring-MVC/ckmetrics/../src/main/java/com/ali/factorypattern/service/CivilEngineering.java,com.ali.factorypattern.service.CivilEngineering,enrollProgram/1[java.lang.String],stuName,1
/root/DesignPatternsDetection/Data/Factory/alif2165_Factory-Pattern-in-Spring-MVC/ckmetrics/../src/main/java/com/ali/factorypattern/service/CivilEngineering.java,com.ali.factorypattern.service.CivilEngineering,getCourses/0,courses,1
/root/DesignPatternsDetection/Data/Factory/alif2165_Factory-Pattern-in-Spring-MVC/ckmetrics/../src/main/java/com/ali/factorypattern/service/Program.java,com.ali.factorypattern.service.Program,enrollProgram/1[java.lang.String],stuName,0
/root/DesignPatternsDetection/Data/Factory/alif2165_Factory-Pattern-in-Spring-MVC/ckmetrics/../src/main/java/com/ali/factorypattern/controllers/HomeController.java,com.ali.factorypattern.controllers.HomeController,showCriteria/1[com.ali.factorypattern.controllers.Model],date,1
/root/DesignPatternsDetection/Data/Factory/alif2165_Factory-Pattern-in-Spring-MVC/ckmetrics/../src/main/java/com/ali/factorypattern/controllers/HomeController.java,com.ali.factorypattern.controllers.HomeController,showCriteria/1[com.ali.factorypattern.controllers.Model],dateFormat,1
/root/DesignPatternsDetection/Data/Factory/alif2165_Factory-Pattern-in-Spring-MVC/ckmetrics/../src/main/java/com/ali/factorypattern/controllers/HomeController.java,com.ali.factorypattern.controllers.HomeController,showCriteria/1[com.ali.factorypattern.controllers.Model],formattedDate,1
/root/DesignPatternsDetection/Data/Factory/alif2165_Factory-Pattern-in-Spring-MVC/ckmetrics/../src/main/java/com/ali/factorypattern/controllers/HomeController.java,com.ali.factorypattern.controllers.HomeController,showCriteria/1[com.ali.factorypattern.controllers.Model],model,1
/root/DesignPatternsDetection/Data/Factory/alif2165_Factory-Pattern-in-Spring-MVC/ckmetrics/../src/main/java/com/ali/factorypattern/controllers/HomeController.java,com.ali.factorypattern.controllers.HomeController,"fetchProgram/2[com.ali.factorypattern.controllers.HttpServletRequest,com.ali.factorypattern.controllers.HttpServletResponse]",request,2
/root/DesignPatternsDetection/Data/Factory/alif2165_Factory-Pattern-in-Spring-MVC/ckmetrics/../src/main/java/com/ali/factorypattern/controllers/HomeController.java,com.ali.factorypattern.controllers.HomeController,"fetchProgram/2[com.ali.factorypattern.controllers.HttpServletRequest,com.ali.factorypattern.controllers.HttpServletResponse]",stuProgram,2
/root/DesignPatternsDetection/Data/Factory/alif2165_Factory-Pattern-in-Spring-MVC/ckmetrics/../src/main/java/com/ali/factorypattern/controllers/HomeController.java,com.ali.factorypattern.controllers.HomeController,"fetchProgram/2[com.ali.factorypattern.controllers.HttpServletRequest,com.ali.factorypattern.controllers.HttpServletResponse]",response,0
/root/DesignPatternsDetection/Data/Factory/alif2165_Factory-Pattern-in-Spring-MVC/ckmetrics/../src/main/java/com/ali/factorypattern/controllers/HomeController.java,com.ali.factorypattern.controllers.HomeController,"fetchProgram/2[com.ali.factorypattern.controllers.HttpServletRequest,com.ali.factorypattern.controllers.HttpServletResponse]",mv,4
/root/DesignPatternsDetection/Data/Factory/alif2165_Factory-Pattern-in-Spring-MVC/ckmetrics/../src/main/java/com/ali/factorypattern/controllers/HomeController.java,com.ali.factorypattern.controllers.HomeController,"fetchProgram/2[com.ali.factorypattern.controllers.HttpServletRequest,com.ali.factorypattern.controllers.HttpServletResponse]",stuName,1
/root/DesignPatternsDetection/Data/Factory/alif2165_Factory-Pattern-in-Spring-MVC/ckmetrics/../src/main/java/com/ali/factorypattern/controllers/HomeController.java,com.ali.factorypattern.controllers.HomeController,"fetchProgram/2[com.ali.factorypattern.controllers.HttpServletRequest,com.ali.factorypattern.controllers.HttpServletResponse]",program,2
