file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Factory/davitwbd_FactoryMethod/ckmetrics/../src/main/java/testeFactoryMethod/TesteFactoryMethod.java,testeFactoryMethod.TesteFactoryMethod,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Factory/davitwbd_FactoryMethod/ckmetrics/../src/main/java/testeFactoryMethod/TesteFactoryMethod.java,testeFactoryMethod.TesteFactoryMethod,main/1[java.lang.String[]],festa2,1
/root/DesignPatternsDetection/Data/Factory/davitwbd_FactoryMethod/ckmetrics/../src/main/java/testeFactoryMethod/TesteFactoryMethod.java,testeFactoryMethod.TesteFactoryMethod,main/1[java.lang.String[]],festa1,1
/root/DesignPatternsDetection/Data/Factory/davitwbd_FactoryMethod/ckmetrics/../src/main/java/model/Convidado.java,model.Convidado,setEmail/1[java.lang.String],email,2
/root/DesignPatternsDetection/Data/Factory/davitwbd_FactoryMethod/ckmetrics/../src/main/java/model/Convidado.java,model.Convidado,"Convidado/2[java.lang.String,java.lang.String]",nome,2
/root/DesignPatternsDetection/Data/Factory/davitwbd_FactoryMethod/ckmetrics/../src/main/java/model/Convidado.java,model.Convidado,"Convidado/2[java.lang.String,java.lang.String]",email,2
/root/DesignPatternsDetection/Data/Factory/davitwbd_FactoryMethod/ckmetrics/../src/main/java/model/Convidado.java,model.Convidado,setNome/1[java.lang.String],nome,2
/root/DesignPatternsDetection/Data/Factory/davitwbd_FactoryMethod/ckmetrics/../src/main/java/festa/festa15Anos/ConvidadosDaJulia.java,festa.festa15Anos.ConvidadosDaJulia,todos/0,lista,2
/root/DesignPatternsDetection/Data/Factory/davitwbd_FactoryMethod/ckmetrics/../src/main/java/festa/festa15Anos/ConvidadosDaJulia.java,festa.festa15Anos.ConvidadosDaJulia,todos/0,convidado3,1
/root/DesignPatternsDetection/Data/Factory/davitwbd_FactoryMethod/ckmetrics/../src/main/java/festa/festa15Anos/ConvidadosDaJulia.java,festa.festa15Anos.ConvidadosDaJulia,todos/0,convidado2,1
/root/DesignPatternsDetection/Data/Factory/davitwbd_FactoryMethod/ckmetrics/../src/main/java/festa/festa15Anos/ConvidadosDaJulia.java,festa.festa15Anos.ConvidadosDaJulia,todos/0,convidado1,1
/root/DesignPatternsDetection/Data/Factory/davitwbd_FactoryMethod/ckmetrics/../src/main/java/festa/Festa.java,festa.Festa,enviarConvite/0,convidado,1
/root/DesignPatternsDetection/Data/Factory/davitwbd_FactoryMethod/ckmetrics/../src/main/java/festa/Festa.java,festa.Festa,enviarConvite/0,convidados,1
/root/DesignPatternsDetection/Data/Factory/davitwbd_FactoryMethod/ckmetrics/../src/main/java/festa/festaCasamento/ConvidadosDoCasamento.java,festa.festaCasamento.ConvidadosDoCasamento,todos/0,lista,2
/root/DesignPatternsDetection/Data/Factory/davitwbd_FactoryMethod/ckmetrics/../src/main/java/festa/festaCasamento/ConvidadosDoCasamento.java,festa.festaCasamento.ConvidadosDoCasamento,todos/0,mae,1
/root/DesignPatternsDetection/Data/Factory/davitwbd_FactoryMethod/ckmetrics/../src/main/java/festa/festaCasamento/ConvidadosDoCasamento.java,festa.festaCasamento.ConvidadosDoCasamento,todos/0,pai,1
/root/DesignPatternsDetection/Data/Factory/davitwbd_FactoryMethod/ckmetrics/../src/main/java/festa/festaCasamento/ConvidadosDoCasamento.java,festa.festaCasamento.ConvidadosDoCasamento,todos/0,avo,1
/root/DesignPatternsDetection/Data/Factory/davitwbd_FactoryMethod/ckmetrics/../src/main/java/festa/festaCasamento/ConvidadosDoCasamento.java,festa.festaCasamento.ConvidadosDoCasamento,todos/0,tio,1
