file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Factory/eliasnogueira_selenium-java-browser-factory/ckmetrics/../src/main/java/com/eliasnogueira/exceptions/TargetNotValidException.java,com.eliasnogueira.exceptions.TargetNotValidException,TargetNotValidException/1[java.lang.String],target,1
/root/DesignPatternsDetection/Data/Factory/eliasnogueira_selenium-java-browser-factory/ckmetrics/../src/main/java/com/eliasnogueira/exceptions/BrowserNotSupportedException.java,com.eliasnogueira.exceptions.BrowserNotSupportedException,BrowserNotSupportedException/1[java.lang.String],browser,1
/root/DesignPatternsDetection/Data/Factory/eliasnogueira_selenium-java-browser-factory/ckmetrics/../src/main/java/com/eliasnogueira/driver/BrowserFactory.java,com.eliasnogueira.driver.BrowserFactory$Anonymous5,getOptions/0,operaOptions,4
/root/DesignPatternsDetection/Data/Factory/eliasnogueira_selenium-java-browser-factory/ckmetrics/../src/main/java/com/eliasnogueira/driver/BrowserFactory.java,com.eliasnogueira.driver.BrowserFactory$Anonymous4,getOptions/0,safariOptions,2
/root/DesignPatternsDetection/Data/Factory/eliasnogueira_selenium-java-browser-factory/ckmetrics/../src/main/java/com/eliasnogueira/driver/BrowserFactory.java,com.eliasnogueira.driver.BrowserFactory$Anonymous6,getOptions/0,internetExplorerOptions,4
/root/DesignPatternsDetection/Data/Factory/eliasnogueira_selenium-java-browser-factory/ckmetrics/../src/main/java/com/eliasnogueira/driver/BrowserFactory.java,com.eliasnogueira.driver.BrowserFactory$Anonymous1,getOptions/0,chromeOptions,5
/root/DesignPatternsDetection/Data/Factory/eliasnogueira_selenium-java-browser-factory/ckmetrics/../src/main/java/com/eliasnogueira/driver/BrowserFactory.java,com.eliasnogueira.driver.BrowserFactory$Anonymous3,getOptions/0,edgeOptions,3
/root/DesignPatternsDetection/Data/Factory/eliasnogueira_selenium-java-browser-factory/ckmetrics/../src/main/java/com/eliasnogueira/driver/BrowserFactory.java,com.eliasnogueira.driver.BrowserFactory$Anonymous2,getOptions/0,firefoxOptions,3
/root/DesignPatternsDetection/Data/Factory/eliasnogueira_selenium-java-browser-factory/ckmetrics/../src/main/java/com/eliasnogueira/driver/DriverFactory.java,com.eliasnogueira.driver.DriverFactory,createInstance/1[java.lang.String],browser,2
/root/DesignPatternsDetection/Data/Factory/eliasnogueira_selenium-java-browser-factory/ckmetrics/../src/main/java/com/eliasnogueira/driver/DriverFactory.java,com.eliasnogueira.driver.DriverFactory,createInstance/1[java.lang.String],webdriver,3
/root/DesignPatternsDetection/Data/Factory/eliasnogueira_selenium-java-browser-factory/ckmetrics/../src/main/java/com/eliasnogueira/driver/DriverFactory.java,com.eliasnogueira.driver.DriverFactory,createInstance/1[java.lang.String],target,3
/root/DesignPatternsDetection/Data/Factory/eliasnogueira_selenium-java-browser-factory/ckmetrics/../src/main/java/com/eliasnogueira/driver/DriverFactory.java,com.eliasnogueira.driver.DriverFactory,createRemoteInstance/1[com.eliasnogueira.driver.MutableCapabilities],capability,3
/root/DesignPatternsDetection/Data/Factory/eliasnogueira_selenium-java-browser-factory/ckmetrics/../src/main/java/com/eliasnogueira/driver/DriverFactory.java,com.eliasnogueira.driver.DriverFactory,createRemoteInstance/1[com.eliasnogueira.driver.MutableCapabilities],e,3
/root/DesignPatternsDetection/Data/Factory/eliasnogueira_selenium-java-browser-factory/ckmetrics/../src/main/java/com/eliasnogueira/driver/DriverFactory.java,com.eliasnogueira.driver.DriverFactory,createRemoteInstance/1[com.eliasnogueira.driver.MutableCapabilities],gridURL,1
/root/DesignPatternsDetection/Data/Factory/eliasnogueira_selenium-java-browser-factory/ckmetrics/../src/main/java/com/eliasnogueira/driver/DriverFactory.java,com.eliasnogueira.driver.DriverFactory,createRemoteInstance/1[com.eliasnogueira.driver.MutableCapabilities],remoteWebDriver,2
