file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/MagoFactory.java,factory.method.MagoFactory,criarPersonagem/0,false,9,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Personagem.java,factory.method.Personagem,"Personagem/9[int,int,int,int,int,int,java.lang.String,java.lang.String,java.lang.String]",true,16,0,2,6,17,0,0,9,6,0,0,0,0,1,0,2,0,9,2,1,0,0,0,20,1,0,false
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Personagem.java,factory.method.Personagem,getImagem/0,false,34,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/PersonagemFactory.java,factory.method.PersonagemFactory,criarPersonagem/0,false,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,false
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/PersonagemFactory.java,factory.method.PersonagemFactory,exibirPersonagem/0,false,18,1,2,9,10,0,2,0,9,0,0,1,0,0,0,0,1,2,0,1,0,0,0,12,1,0,false
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/GuerreiroFactory.java,factory.method.GuerreiroFactory,criarPersonagem/0,false,9,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/AssassinoFactory.java,factory.method.AssassinoFactory,criarPersonagem/0,false,9,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Guerreiro.java,factory.method.Guerreiro,Guerreiro/0,true,8,0,1,1,4,0,0,0,1,0,0,0,0,0,0,18,6,0,1,0,0,0,0,1,1,0,false
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Assassino.java,factory.method.Assassino,Assassino/0,true,8,0,1,1,4,0,0,0,1,0,0,0,0,0,0,18,6,0,1,0,0,0,0,1,1,0,false
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Mago.java,factory.method.Mago,Mago/0,true,8,0,1,1,4,0,0,0,1,0,0,0,0,0,0,18,6,0,1,0,0,0,0,1,1,0,false
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Main.java,factory.method.Main,criarPersonagem/1[int],false,32,4,4,2,18,0,1,1,2,0,0,0,0,0,0,0,3,4,0,1,0,0,0,9,9,0,false
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Main.java,factory.method.Main,main/1[java.lang.String[]],false,10,1,2,4,17,0,3,1,4,1,1,1,0,0,0,8,1,4,1,1,0,0,0,17,9,0,false
