file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Personagem.java,factory.method.Personagem,"Personagem/9[int,int,int,int,int,int,java.lang.String,java.lang.String,java.lang.String]",str,2
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Personagem.java,factory.method.Personagem,"Personagem/9[int,int,int,int,int,int,java.lang.String,java.lang.String,java.lang.String]",nomeDoArquivo,2
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Personagem.java,factory.method.Personagem,"Personagem/9[int,int,int,int,int,int,java.lang.String,java.lang.String,java.lang.String]",con,2
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Personagem.java,factory.method.Personagem,"Personagem/9[int,int,int,int,int,int,java.lang.String,java.lang.String,java.lang.String]",wit,2
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Personagem.java,factory.method.Personagem,"Personagem/9[int,int,int,int,int,int,java.lang.String,java.lang.String,java.lang.String]",e,1
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Personagem.java,factory.method.Personagem,"Personagem/9[int,int,int,int,int,int,java.lang.String,java.lang.String,java.lang.String]",dex,2
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Personagem.java,factory.method.Personagem,"Personagem/9[int,int,int,int,int,int,java.lang.String,java.lang.String,java.lang.String]",inte,2
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Personagem.java,factory.method.Personagem,"Personagem/9[int,int,int,int,int,int,java.lang.String,java.lang.String,java.lang.String]",men,2
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Personagem.java,factory.method.Personagem,"Personagem/9[int,int,int,int,int,int,java.lang.String,java.lang.String,java.lang.String]",arma,2
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Personagem.java,factory.method.Personagem,"Personagem/9[int,int,int,int,int,int,java.lang.String,java.lang.String,java.lang.String]",armadura,2
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/PersonagemFactory.java,factory.method.PersonagemFactory,exibirPersonagem/0,i,3
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/PersonagemFactory.java,factory.method.PersonagemFactory,exibirPersonagem/0,frame,5
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Main.java,factory.method.Main,criarPersonagem/1[int],p,1
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Main.java,factory.method.Main,criarPersonagem/1[int],personagem,5
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Main.java,factory.method.Main,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Main.java,factory.method.Main,main/1[java.lang.String[]],input,3
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Main.java,factory.method.Main,main/1[java.lang.String[]],input2,1
/root/DesignPatternsDetection/Data/Factory/euygor_FactoryMethod/ckmetrics/../src/factory/method/Main.java,factory.method.Main,main/1[java.lang.String[]],scan,3
