file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Factory/gemunulk_gauge-java-maven-selenium-page-factory-extended/ckmetrics/../src/main/java/com/aut/pages/BasePage.java,com.aut.pages.BasePage,"isSelected/2[com.aut.pages.By,java.lang.String]",driver,2
/root/DesignPatternsDetection/Data/Factory/gemunulk_gauge-java-maven-selenium-page-factory-extended/ckmetrics/../src/main/java/com/aut/pages/BasePage.java,com.aut.pages.BasePage,"selectByVisibleText/2[com.aut.pages.By,java.lang.String]",driver,2
/root/DesignPatternsDetection/Data/Factory/gemunulk_gauge-java-maven-selenium-page-factory-extended/ckmetrics/../src/main/java/com/aut/pages/BasePage.java,com.aut.pages.BasePage,getText/1[com.aut.pages.By],driver,2
/root/DesignPatternsDetection/Data/Factory/gemunulk_gauge-java-maven-selenium-page-factory-extended/ckmetrics/../src/main/java/com/aut/pages/BasePage.java,com.aut.pages.BasePage,click/1[com.aut.pages.By],driver,2
/root/DesignPatternsDetection/Data/Factory/gemunulk_gauge-java-maven-selenium-page-factory-extended/ckmetrics/../src/main/java/com/aut/pages/BasePage.java,com.aut.pages.BasePage,"sendKeys/2[com.aut.pages.By,java.lang.String]",driver,3
/root/DesignPatternsDetection/Data/Factory/gemunulk_gauge-java-maven-selenium-page-factory-extended/ckmetrics/../src/main/java/com/aut/pages/BasePage.java,com.aut.pages.BasePage,"getAttribute/2[com.aut.pages.By,java.lang.String]",driver,2
/root/DesignPatternsDetection/Data/Factory/gemunulk_gauge-java-maven-selenium-page-factory-extended/ckmetrics/../src/main/java/com/aut/pages/BasePage.java,com.aut.pages.BasePage,BasePage/0,driver,1
/root/DesignPatternsDetection/Data/Factory/gemunulk_gauge-java-maven-selenium-page-factory-extended/ckmetrics/../src/main/java/com/aut/pages/PageFactory.java,com.aut.pages.PageFactory,init/0,driver,5
/root/DesignPatternsDetection/Data/Factory/gemunulk_gauge-java-maven-selenium-page-factory-extended/ckmetrics/../src/main/java/com/aut/pages/PageFactory.java,com.aut.pages.PageFactory,init/0,createAccountSuccessPage,1
/root/DesignPatternsDetection/Data/Factory/gemunulk_gauge-java-maven-selenium-page-factory-extended/ckmetrics/../src/main/java/com/aut/pages/PageFactory.java,com.aut.pages.PageFactory,init/0,loginPage,1
/root/DesignPatternsDetection/Data/Factory/gemunulk_gauge-java-maven-selenium-page-factory-extended/ckmetrics/../src/main/java/com/aut/pages/PageFactory.java,com.aut.pages.PageFactory,init/0,registrationPage,1
/root/DesignPatternsDetection/Data/Factory/gemunulk_gauge-java-maven-selenium-page-factory-extended/ckmetrics/../src/main/java/com/aut/pages/PageFactory.java,com.aut.pages.PageFactory,init/0,logoutPage,1
/root/DesignPatternsDetection/Data/Factory/gemunulk_gauge-java-maven-selenium-page-factory-extended/ckmetrics/../src/main/java/utils/DriverFactory.java,utils.DriverFactory,Setup/0,driver,4
/root/DesignPatternsDetection/Data/Factory/gemunulk_gauge-java-maven-selenium-page-factory-extended/ckmetrics/../src/main/java/utils/DriverFactory.java,utils.DriverFactory,getDriver/0,driver,1
/root/DesignPatternsDetection/Data/Factory/gemunulk_gauge-java-maven-selenium-page-factory-extended/ckmetrics/../src/main/java/utils/DriverFactory.java,utils.DriverFactory,TearDown/0,driver,2
