file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/TableHeaderDouble.java,pl.wipb.ztp.ps2.TableHeaderDouble,TableHeaderDouble/1[java.lang.String],type,1
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/Database.java,pl.wipb.ztp.ps2.Database,addRow/0,col,1
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/Database.java,pl.wipb.ztp.ps2.Database,addRow/0,row,2
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/Database.java,pl.wipb.ztp.ps2.Database,"getValueAt/2[int,int]",column,1
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/Database.java,pl.wipb.ztp.ps2.Database,"getValueAt/2[int,int]",row,1
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/Database.java,pl.wipb.ztp.ps2.Database,addCol/1[pl.wipb.ztp.ps2.TableHeader],row,1
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/Database.java,pl.wipb.ztp.ps2.Database,addCol/1[pl.wipb.ztp.ps2.TableHeader],type,2
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/Database.java,pl.wipb.ztp.ps2.Database,getColumnName/1[int],column,1
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/TableHeaderBoolean.java,pl.wipb.ztp.ps2.TableHeaderBoolean,TableHeaderBoolean/1[java.lang.String],type,1
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/TableHeaderChar.java,pl.wipb.ztp.ps2.TableHeaderChar,TableHeaderChar/1[java.lang.String],type,1
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/TableHeaderInt.java,pl.wipb.ztp.ps2.TableHeaderInt,TableHeaderInt/1[java.lang.String],type,1
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/TableHeader.java,pl.wipb.ztp.ps2.TableHeader,TableHeader/1[java.lang.String],type,2
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/Program3.java,pl.wipb.ztp.ps2.Program3$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],ev,0
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/Program3.java,pl.wipb.ztp.ps2.Program3$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],ev,0
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/Program3.java,pl.wipb.ztp.ps2.Program3$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],option,2
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/Program3.java,pl.wipb.ztp.ps2.Program3,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/Program3.java,pl.wipb.ztp.ps2.Program3,main/1[java.lang.String[]],col,2
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/Program3.java,pl.wipb.ztp.ps2.Program3,main/1[java.lang.String[]],database,1
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/Program3.java,pl.wipb.ztp.ps2.Program3,main/1[java.lang.String[]],bar,3
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/Program3.java,pl.wipb.ztp.ps2.Program3,main/1[java.lang.String[]],ex,1
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/Program3.java,pl.wipb.ztp.ps2.Program3,main/1[java.lang.String[]],row,2
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/Program3.java,pl.wipb.ztp.ps2.Program3,main/1[java.lang.String[]],table,1
/root/DesignPatternsDetection/Data/Factory/magbdev_ztp-ps2/ckmetrics/../src/main/java/pl/wipb/ztp/ps2/Program3.java,pl.wipb.ztp.ps2.Program3,main/1[java.lang.String[]],frame,5
