file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/test/java/de/thro/inf/prg3/a08/test/OpenMensaAPITests.java,de.thro.inf.prg3.a08.test.OpenMensaAPITests,setup/0,openMensaAPI,1
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/test/java/de/thro/inf/prg3/a08/test/OpenMensaAPITests.java,de.thro.inf.prg3.a08.test.OpenMensaAPITests,testGetMeals/0,dateFormat,1
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/test/java/de/thro/inf/prg3/a08/test/OpenMensaAPITests.java,de.thro.inf.prg3.a08.test.OpenMensaAPITests,testGetMeals/0,logger,1
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/test/java/de/thro/inf/prg3/a08/test/OpenMensaAPITests.java,de.thro.inf.prg3.a08.test.OpenMensaAPITests,testGetMeals/0,openMensaAPI,1
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/MainActivity.java,de.thro.inf.prg3.a08.MainActivity,onCreate/1[de.thro.inf.prg3.a08.Bundle],spinnerAdapter,2
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/MainActivity.java,de.thro.inf.prg3.a08.MainActivity,onCreate/1[de.thro.inf.prg3.a08.Bundle],mealsArrayAdapter,2
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/MainActivity.java,de.thro.inf.prg3.a08.MainActivity,MainActivity/0,dateFormat,1
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/MainActivity.java,de.thro.inf.prg3.a08.MainActivity,MainActivity/0,openMensaAPI,1
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/model/Meal.java,de.thro.inf.prg3.a08.model.Meal,getNotes/0,notes,1
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/model/Meal.java,de.thro.inf.prg3.a08.model.Meal,setCategory/1[java.lang.String],category,3
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/model/Meal.java,de.thro.inf.prg3.a08.model.Meal,getCategory/0,category,1
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/model/Meal.java,de.thro.inf.prg3.a08.model.Meal,setName/1[java.lang.String],name,3
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/model/Meal.java,de.thro.inf.prg3.a08.model.Meal,setNotes/1[java.util.List<java.lang.String>],notes,3
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/model/Meal.java,de.thro.inf.prg3.a08.model.Meal,getName/0,name,1
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/model/Meal.java,de.thro.inf.prg3.a08.model.Meal,Meal/0,notes,1
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/model/Meal.java,de.thro.inf.prg3.a08.model.Meal,getId/0,id,1
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/model/Meal.java,de.thro.inf.prg3.a08.model.Meal,isVegetarian/0,notes,1
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/model/Meal.java,de.thro.inf.prg3.a08.model.Meal,toString/0,notes,1
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/model/Meal.java,de.thro.inf.prg3.a08.model.Meal,toString/0,name,1
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/model/Meal.java,de.thro.inf.prg3.a08.model.Meal,toString/0,category,1
/root/DesignPatternsDetection/Data/Factory/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/model/Meal.java,de.thro.inf.prg3.a08.model.Meal,setId/1[int],id,3
