file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Factory/oscarjb1_blog-patterns-factorymethod/ckmetrics/../src/main/java/com/oscarblancarteblog/SQLServerAdapter.java,com.oscarblancarteblog.SQLServerAdapter,getConnection/0,password,1
/root/DesignPatternsDetection/Data/Factory/oscarjb1_blog-patterns-factorymethod/ckmetrics/../src/main/java/com/oscarblancarteblog/SQLServerAdapter.java,com.oscarblancarteblog.SQLServerAdapter,getConnection/0,port,1
/root/DesignPatternsDetection/Data/Factory/oscarjb1_blog-patterns-factorymethod/ckmetrics/../src/main/java/com/oscarblancarteblog/SQLServerAdapter.java,com.oscarblancarteblog.SQLServerAdapter,getConnection/0,e,1
/root/DesignPatternsDetection/Data/Factory/oscarjb1_blog-patterns-factorymethod/ckmetrics/../src/main/java/com/oscarblancarteblog/SQLServerAdapter.java,com.oscarblancarteblog.SQLServerAdapter,getConnection/0,host,1
/root/DesignPatternsDetection/Data/Factory/oscarjb1_blog-patterns-factorymethod/ckmetrics/../src/main/java/com/oscarblancarteblog/SQLServerAdapter.java,com.oscarblancarteblog.SQLServerAdapter,getConnection/0,connection,1
/root/DesignPatternsDetection/Data/Factory/oscarjb1_blog-patterns-factorymethod/ckmetrics/../src/main/java/com/oscarblancarteblog/SQLServerAdapter.java,com.oscarblancarteblog.SQLServerAdapter,getConnection/0,user,1
/root/DesignPatternsDetection/Data/Factory/oscarjb1_blog-patterns-factorymethod/ckmetrics/../src/main/java/com/oscarblancarteblog/SQLServerAdapter.java,com.oscarblancarteblog.SQLServerAdapter,getConnection/0,db,1
/root/DesignPatternsDetection/Data/Factory/oscarjb1_blog-patterns-factorymethod/ckmetrics/../src/main/java/com/oscarblancarteblog/SQLServerAdapter.java,com.oscarblancarteblog.SQLServerAdapter,getConnection/0,url,1
/root/DesignPatternsDetection/Data/Factory/oscarjb1_blog-patterns-factorymethod/ckmetrics/../src/main/java/com/oscarblancarteblog/SQLServerAdapter.java,com.oscarblancarteblog.SQLServerAdapter,(initializer 1),e,0
/root/DesignPatternsDetection/Data/Factory/oscarjb1_blog-patterns-factorymethod/ckmetrics/../src/main/java/com/oscarblancarteblog/OracleDBAdapter.java,com.oscarblancarteblog.OracleDBAdapter,getConnection/0,password,1
/root/DesignPatternsDetection/Data/Factory/oscarjb1_blog-patterns-factorymethod/ckmetrics/../src/main/java/com/oscarblancarteblog/OracleDBAdapter.java,com.oscarblancarteblog.OracleDBAdapter,getConnection/0,port,1
/root/DesignPatternsDetection/Data/Factory/oscarjb1_blog-patterns-factorymethod/ckmetrics/../src/main/java/com/oscarblancarteblog/OracleDBAdapter.java,com.oscarblancarteblog.OracleDBAdapter,getConnection/0,e,1
