file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,getLadoA/0,ladoA,1
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,setLadoC/1[float],ladoC,4
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,setLadoC/1[float],ladoB,1
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,setLadoC/1[float],ladoA,1
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,"condicaoExistencia/3[float,float,float]",ladoC,7
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,"condicaoExistencia/3[float,float,float]",ladoB,7
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,"condicaoExistencia/3[float,float,float]",ladoA,7
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,"Triangulo/3[float,float,float]",ladoC,4
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,"Triangulo/3[float,float,float]",ladoB,4
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,"Triangulo/3[float,float,float]",ladoA,4
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,setLadoA/1[float],ladoC,1
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,setLadoA/1[float],ladoB,1
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,setLadoA/1[float],ladoA,4
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,altnome/0,ladoC,10
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,altnome/0,ladoB,10
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,altnome/0,ladoA,10
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,setNome/1[java.lang.String],nome,3
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,setLadoB/1[float],ladoC,1
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,setLadoB/1[float],ladoB,4
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,setLadoB/1[float],ladoA,1
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,getLadoB/0,ladoB,1
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,condicaoPadrao/0,nome,1
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,condicaoPadrao/0,ladoC,1
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,condicaoPadrao/0,ladoB,1
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,condicaoPadrao/0,ladoA,1
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,toString/0,nome,1
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,toString/0,ladoC,1
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,toString/0,ladoB,1
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,toString/0,ladoA,1
/root/DesignPatternsDetection/Data/Factory/thiago-lima26_FactoryMethod/ckmetrics/../FactoryMethod/src/factory/Triangulo.java,factory.Triangulo,getLadoC/0,ladoC,1
