file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/Triangle.java,tr.com.eyasun.factorypattern.withoutgeneric.Triangle,setA/1[double],a,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/Triangle.java,tr.com.eyasun.factorypattern.withoutgeneric.Triangle,setC/1[double],c,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/Triangle.java,tr.com.eyasun.factorypattern.withoutgeneric.Triangle,getB/0,b,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/Triangle.java,tr.com.eyasun.factorypattern.withoutgeneric.Triangle,getA/0,a,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/Triangle.java,tr.com.eyasun.factorypattern.withoutgeneric.Triangle,setB/1[double],b,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/Triangle.java,tr.com.eyasun.factorypattern.withoutgeneric.Triangle,"Triangle/3[double,double,double]",a,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/Triangle.java,tr.com.eyasun.factorypattern.withoutgeneric.Triangle,"Triangle/3[double,double,double]",b,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/Triangle.java,tr.com.eyasun.factorypattern.withoutgeneric.Triangle,"Triangle/3[double,double,double]",c,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/Triangle.java,tr.com.eyasun.factorypattern.withoutgeneric.Triangle,getC/0,c,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/Circle.java,tr.com.eyasun.factorypattern.withoutgeneric.Circle,Circle/1[double],radius,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/Circle.java,tr.com.eyasun.factorypattern.withoutgeneric.Circle,getRadius/0,radius,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/Circle.java,tr.com.eyasun.factorypattern.withoutgeneric.Circle,setRadius/1[double],radius,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/DefaultAreaCalculatorFactory.java,tr.com.eyasun.factorypattern.withoutgeneric.DefaultAreaCalculatorFactory,"addCalculator/2[java.lang.Class<?>,tr.com.eyasun.factorypattern.withoutgeneric.IAreaCalculator]",calculators,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/DefaultAreaCalculatorFactory.java,tr.com.eyasun.factorypattern.withoutgeneric.DefaultAreaCalculatorFactory,getCalculator/1[java.lang.Class<?>],calculators,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/DefaultAreaCalculatorFactory.java,tr.com.eyasun.factorypattern.withoutgeneric.DefaultAreaCalculatorFactory,removeCalculator/1[java.lang.Class<?>],calculators,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/Rectangle.java,tr.com.eyasun.factorypattern.withoutgeneric.Rectangle,setLength/1[double],length,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/Rectangle.java,tr.com.eyasun.factorypattern.withoutgeneric.Rectangle,setWidth/1[double],width,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/Rectangle.java,tr.com.eyasun.factorypattern.withoutgeneric.Rectangle,getLength/0,length,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/Rectangle.java,tr.com.eyasun.factorypattern.withoutgeneric.Rectangle,"Rectangle/2[double,double]",length,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/Rectangle.java,tr.com.eyasun.factorypattern.withoutgeneric.Rectangle,"Rectangle/2[double,double]",width,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withoutgeneric/Rectangle.java,tr.com.eyasun.factorypattern.withoutgeneric.Rectangle,getWidth/0,width,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/Triangle.java,tr.com.eyasun.factorypattern.withgeneric.Triangle,setA/1[double],a,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/Triangle.java,tr.com.eyasun.factorypattern.withgeneric.Triangle,setC/1[double],c,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/Triangle.java,tr.com.eyasun.factorypattern.withgeneric.Triangle,getB/0,b,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/Triangle.java,tr.com.eyasun.factorypattern.withgeneric.Triangle,getA/0,a,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/Triangle.java,tr.com.eyasun.factorypattern.withgeneric.Triangle,setB/1[double],b,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/Triangle.java,tr.com.eyasun.factorypattern.withgeneric.Triangle,"Triangle/3[double,double,double]",a,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/Triangle.java,tr.com.eyasun.factorypattern.withgeneric.Triangle,"Triangle/3[double,double,double]",b,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/Triangle.java,tr.com.eyasun.factorypattern.withgeneric.Triangle,"Triangle/3[double,double,double]",c,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/Triangle.java,tr.com.eyasun.factorypattern.withgeneric.Triangle,getC/0,c,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/Circle.java,tr.com.eyasun.factorypattern.withgeneric.Circle,Circle/1[double],radius,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/Circle.java,tr.com.eyasun.factorypattern.withgeneric.Circle,getRadius/0,radius,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/Circle.java,tr.com.eyasun.factorypattern.withgeneric.Circle,setRadius/1[double],radius,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/DefaultAreaCalculatorFactory.java,tr.com.eyasun.factorypattern.withgeneric.DefaultAreaCalculatorFactory,getCalculator/1[java.lang.Class<? extends T>],calculators,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/DefaultAreaCalculatorFactory.java,tr.com.eyasun.factorypattern.withgeneric.DefaultAreaCalculatorFactory,"addCalculator/2[java.lang.Class<? extends T>,tr.com.eyasun.factorypattern.withgeneric.IAreaCalculator<T>]",calculators,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/DefaultAreaCalculatorFactory.java,tr.com.eyasun.factorypattern.withgeneric.DefaultAreaCalculatorFactory,removeCalculator/1[java.lang.Class<?>],calculators,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/Rectangle.java,tr.com.eyasun.factorypattern.withgeneric.Rectangle,setLength/1[double],length,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/Rectangle.java,tr.com.eyasun.factorypattern.withgeneric.Rectangle,setWidth/1[double],width,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/Rectangle.java,tr.com.eyasun.factorypattern.withgeneric.Rectangle,getLength/0,length,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/Rectangle.java,tr.com.eyasun.factorypattern.withgeneric.Rectangle,"Rectangle/2[double,double]",length,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/Rectangle.java,tr.com.eyasun.factorypattern.withgeneric.Rectangle,"Rectangle/2[double,double]",width,1
/root/DesignPatternsDetection/Data/Factory/yasunerkan_Factory-Pattern-with-Generics/ckmetrics/../FactoryPatternWithGenerics/src/tr/com/eyasun/factorypattern/withgeneric/Rectangle.java,tr.com.eyasun.factorypattern.withgeneric.Rectangle,getWidth/0,width,1
