file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../Robot.java,Robot_Factory.Robot,doTask/1[java.lang.String],action,3
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../Robot.java,Robot_Factory.Robot,storeParts/1[java.lang.String],part,1
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../Robot.java,Robot_Factory.Robot,setType/1[java.lang.String],type,2
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../Robot.java,Robot_Factory.Robot,setManufacturer/1[java.lang.String],manufacturer,2
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../Robot.java,Robot_Factory.Robot,fetchParts/1[java.lang.String],part,3
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../Robot.java,Robot_Factory.Robot,setSerialNumber/1[java.lang.String],serialNumber,2
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../A02zainuddm.java,Robot_Factory.A02zainuddm,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../A02zainuddm.java,Robot_Factory.A02zainuddm,main/1[java.lang.String[]],secondDrillRobot,5
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../A02zainuddm.java,Robot_Factory.A02zainuddm,main/1[java.lang.String[]],firstCutRobot,4
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../A02zainuddm.java,Robot_Factory.A02zainuddm,main/1[java.lang.String[]],firstAssemblyRobot,2
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../A02zainuddm.java,Robot_Factory.A02zainuddm,main/1[java.lang.String[]],TankFactory,0
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../A02zainuddm.java,Robot_Factory.A02zainuddm,main/1[java.lang.String[]],secondCutRobot,4
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../A02zainuddm.java,Robot_Factory.A02zainuddm,main/1[java.lang.String[]],i,2
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../A02zainuddm.java,Robot_Factory.A02zainuddm,main/1[java.lang.String[]],firstDrillRobot,4
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../DrillingRobot.java,Robot_Factory.DrillingRobot,"DrillingRobot/3[java.lang.String,java.lang.String,java.lang.String]",serialNumber,2
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../DrillingRobot.java,Robot_Factory.DrillingRobot,"DrillingRobot/3[java.lang.String,java.lang.String,java.lang.String]",type,2
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../DrillingRobot.java,Robot_Factory.DrillingRobot,"DrillingRobot/3[java.lang.String,java.lang.String,java.lang.String]",manufacturer,2
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../RobotFactory.java,Robot_Factory.RobotFactory,makeBuildRobot/1[java.lang.String],newRobot,0
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../RobotFactory.java,Robot_Factory.RobotFactory,makeBuildRobot/1[java.lang.String],newNumSerial,10
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../CuttingRobot.java,Robot_Factory.CuttingRobot,"CuttingRobot/3[java.lang.String,java.lang.String,java.lang.String]",serialNumber,2
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../CuttingRobot.java,Robot_Factory.CuttingRobot,"CuttingRobot/3[java.lang.String,java.lang.String,java.lang.String]",type,2
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../CuttingRobot.java,Robot_Factory.CuttingRobot,"CuttingRobot/3[java.lang.String,java.lang.String,java.lang.String]",manufacturer,2
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../AssemblyRobot.java,Robot_Factory.AssemblyRobot,"AssemblyRobot/3[java.lang.String,java.lang.String,java.lang.String]",serialNumber,2
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../AssemblyRobot.java,Robot_Factory.AssemblyRobot,"AssemblyRobot/3[java.lang.String,java.lang.String,java.lang.String]",type,2
/root/DesignPatternsDetection/Data/Factory/zainshafiq_Robots-Factory/ckmetrics/../AssemblyRobot.java,Robot_Factory.AssemblyRobot,"AssemblyRobot/3[java.lang.String,java.lang.String,java.lang.String]",manufacturer,2
