file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/Shape.java,flyweight.Shape,"draw/6[java.awt.Graphics,int,int,int,int,java.awt.Color]",grp,0
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/Shape.java,flyweight.Shape,"draw/6[java.awt.Graphics,int,int,int,int,java.awt.Color]",color,0
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/Shape.java,flyweight.Shape,"draw/6[java.awt.Graphics,int,int,int,int,java.awt.Color]",x,0
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/Shape.java,flyweight.Shape,"draw/6[java.awt.Graphics,int,int,int,int,java.awt.Color]",width,0
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/Shape.java,flyweight.Shape,"draw/6[java.awt.Graphics,int,int,int,int,java.awt.Color]",y,0
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/Shape.java,flyweight.Shape,"draw/6[java.awt.Graphics,int,int,int,int,java.awt.Color]",height,0
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/ShapeFactory.java,flyweight.ShapeFactory,getShape/1[flyweight.ShapeFactory.ShapeType],shapeImpl,6
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/ShapeFactory.java,flyweight.ShapeFactory,getShape/1[flyweight.ShapeFactory.ShapeType],type,5
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/Line.java,flyweight.Line,"draw/6[java.awt.Graphics,int,int,int,int,java.awt.Color]",line,2
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/Line.java,flyweight.Line,"draw/6[java.awt.Graphics,int,int,int,int,java.awt.Color]",y1,1
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/Line.java,flyweight.Line,"draw/6[java.awt.Graphics,int,int,int,int,java.awt.Color]",clr,1
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/Line.java,flyweight.Line,"draw/6[java.awt.Graphics,int,int,int,int,java.awt.Color]",x1,1
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/Line.java,flyweight.Line,"draw/6[java.awt.Graphics,int,int,int,int,java.awt.Color]",y2,1
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/Line.java,flyweight.Line,"draw/6[java.awt.Graphics,int,int,int,int,java.awt.Color]",x2,1
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/Line.java,flyweight.Line,Line/0,e,1
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/DrawingClient.java,flyweight.DrawingClient$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],shape,1
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/DrawingClient.java,flyweight.DrawingClient$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],g,1
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/DrawingClient.java,flyweight.DrawingClient$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],i,2
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/DrawingClient.java,flyweight.DrawingClient$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],event,0
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/DrawingClient.java,flyweight.DrawingClient,"DrawingClient/2[int,int]",startButton,2
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/DrawingClient.java,flyweight.DrawingClient,"DrawingClient/2[int,int]",width,1
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/DrawingClient.java,flyweight.DrawingClient,"DrawingClient/2[int,int]",panel,1
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/DrawingClient.java,flyweight.DrawingClient,"DrawingClient/2[int,int]",contentPane,2
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/DrawingClient.java,flyweight.DrawingClient,"DrawingClient/2[int,int]",height,1
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/DrawingClient.java,flyweight.DrawingClient,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/DrawingClient.java,flyweight.DrawingClient,main/1[java.lang.String[]],drawing,0
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/Oval.java,flyweight.Oval,"draw/6[java.awt.Graphics,int,int,int,int,java.awt.Color]",color,1
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/Oval.java,flyweight.Oval,"draw/6[java.awt.Graphics,int,int,int,int,java.awt.Color]",x,2
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/Oval.java,flyweight.Oval,"draw/6[java.awt.Graphics,int,int,int,int,java.awt.Color]",width,2
/root/DesignPatternsDetection/Data/Flyweight/CarlosRDGZ_FlyweightPattern/ckmetrics/../src/flyweight/Oval.java,flyweight.Oval,"draw/6[java.awt.Graphics,int,int,int,int,java.awt.Color]",y,2
