file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Flyweight/czq2019_FlyweightPattern/ckmetrics/../src/flyweight/Shape.java,flyweight.Shape,draw/0,false,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
/root/DesignPatternsDetection/Data/Flyweight/czq2019_FlyweightPattern/ckmetrics/../src/flyweight/FlyweightPatternDemo.java,flyweight.FlyweightPatternDemo,getRandomColor/0,false,15,0,1,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,10,0,false
/root/DesignPatternsDetection/Data/Flyweight/czq2019_FlyweightPattern/ckmetrics/../src/flyweight/FlyweightPatternDemo.java,flyweight.FlyweightPatternDemo,getRandomY/0,false,21,0,1,1,3,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,10,0,false
/root/DesignPatternsDetection/Data/Flyweight/czq2019_FlyweightPattern/ckmetrics/../src/flyweight/FlyweightPatternDemo.java,flyweight.FlyweightPatternDemo,getRandomX/0,false,18,0,1,1,3,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,10,0,false
/root/DesignPatternsDetection/Data/Flyweight/czq2019_FlyweightPattern/ckmetrics/../src/flyweight/FlyweightPatternDemo.java,flyweight.FlyweightPatternDemo,main/1[java.lang.String[]],false,6,3,2,8,9,0,2,1,8,3,1,1,0,0,0,0,3,2,0,1,0,0,0,10,9,0,false
/root/DesignPatternsDetection/Data/Flyweight/czq2019_FlyweightPattern/ckmetrics/../src/flyweight/ShapeFactory.java,flyweight.ShapeFactory,getCircle/1[java.lang.String],false,8,2,2,3,9,1,1,1,3,0,0,0,1,0,0,1,0,2,1,1,0,0,0,7,9,0,false
/root/DesignPatternsDetection/Data/Flyweight/czq2019_FlyweightPattern/ckmetrics/../src/flyweight/Circle.java,flyweight.Circle,setRadius/1[int],false,22,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Flyweight/czq2019_FlyweightPattern/ckmetrics/../src/flyweight/Circle.java,flyweight.Circle,draw/0,false,27,0,1,1,3,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,6,1,0,false
/root/DesignPatternsDetection/Data/Flyweight/czq2019_FlyweightPattern/ckmetrics/../src/flyweight/Circle.java,flyweight.Circle,setY/1[int],false,18,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Flyweight/czq2019_FlyweightPattern/ckmetrics/../src/flyweight/Circle.java,flyweight.Circle,Circle/1[java.lang.String],true,10,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Flyweight/czq2019_FlyweightPattern/ckmetrics/../src/flyweight/Circle.java,flyweight.Circle,setX/1[int],false,14,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
