file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/FlyweightTest.java,FlyweightTest,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/FlyweightTest.java,FlyweightTest,getRandColor/0,randInt,1
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/FlyweightTest.java,FlyweightTest,getRandColor/0,randomGenerator,1
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/FlyweightTest.java,FlyweightTest,FlyweightTest/0,drawingPanel,1
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/FlyweightTest.java,FlyweightTest,FlyweightTest/0,contentPane,4
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/FlyweightTest.java,FlyweightTest$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],rect,1
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/FlyweightTest.java,FlyweightTest$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],e,0
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/FlyweightTest.java,FlyweightTest$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],g,1
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/FlyweightTest.java,FlyweightTest$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],i,2
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/FlyweightTest.java,FlyweightTest$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],startTime,1
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/FlyweightTest.java,FlyweightTest$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],endTime,1
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/MyRecg.java,MyRecg,MyRecg/1[java.awt.Color],color,2
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/MyRecg.java,MyRecg,"draw/5[java.awt.Graphics,int,int,int,int]",upperY,1
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/MyRecg.java,MyRecg,"draw/5[java.awt.Graphics,int,int,int,int]",upperX,1
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/MyRecg.java,MyRecg,"draw/5[java.awt.Graphics,int,int,int,int]",g,2
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/MyRecg.java,MyRecg,"draw/5[java.awt.Graphics,int,int,int,int]",lowerY,1
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/MyRecg.java,MyRecg,"draw/5[java.awt.Graphics,int,int,int,int]",lowerX,1
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/RectFactory.java,RectFactory,getRect/1[java.awt.Color],rect,4
/root/DesignPatternsDetection/Data/Flyweight/fiona8231_FlyweightPattern/ckmetrics/../src/RectFactory.java,RectFactory,getRect/1[java.awt.Color],color,3
