file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/controller/IteratorLauncher.java,controller.IteratorLauncher,class,4,1,1,2,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,0,6,0,6,0,0,0,0,33,1,0
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/IteratorMetalFriendArray.java,model.IteratorMetalFriendArray,class,2,5,1,0,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,20,3,0,1,0,0,0,2,4,0,3,1,0,0,0,15,1,0
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/Collection.java,model.Collection,interface,1,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/ClimbingFriendArrayList.java,model.ClimbingFriendArrayList,class,5,3,1,2,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,17,1,0,0,0,0,4,0,2,0,2,0,0,0,0,13,1,0
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/FriendViewer.java,model.FriendViewer,class,3,3,1,5,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,14,0,1,0,0,0,1,0,3,0,3,1,0,0,0,17,1,0
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/Iterator.java,model.Iterator,interface,0,2,1,0,1,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/ClimbingFriendStack.java,model.ClimbingFriendStack,class,4,2,1,1,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,14,1,0,0,0,0,5,0,1,0,1,0,0,0,0,7,1,0
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/IteratorClimbingFriendStack.java,model.IteratorClimbingFriendStack,class,2,4,1,2,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,17,3,0,0,0,0,0,0,1,0,1,1,0,0,0,11,1,0
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/IteratorClimbingFriendArrayList.java,model.IteratorClimbingFriendArrayList,class,2,5,1,2,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,20,3,0,1,0,0,0,2,4,0,3,1,0,0,0,15,1,0
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/Friend.java,model.Friend,class,0,2,1,0,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/MetalFriendArray.java,model.MetalFriendArray,class,5,4,1,2,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,3,1,0,0,0,3,1,0,0,22,1,0,0,0,0,4,3,6,1,4,2,0,0,0,23,1,0
