file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/controller/IteratorLauncher.java,controller.IteratorLauncher,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/controller/IteratorLauncher.java,controller.IteratorLauncher,main/1[java.lang.String[]],cfal,1
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/controller/IteratorLauncher.java,controller.IteratorLauncher,main/1[java.lang.String[]],cfs,1
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/controller/IteratorLauncher.java,controller.IteratorLauncher,main/1[java.lang.String[]],viewer3,1
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/controller/IteratorLauncher.java,controller.IteratorLauncher,main/1[java.lang.String[]],viewer2,1
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/controller/IteratorLauncher.java,controller.IteratorLauncher,main/1[java.lang.String[]],mfa,1
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/controller/IteratorLauncher.java,controller.IteratorLauncher,main/1[java.lang.String[]],viewer1,1
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/IteratorMetalFriendArray.java,model.IteratorMetalFriendArray,IteratorMetalFriendArray/1[model.Friend[]],metalFriendList,2
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/IteratorMetalFriendArray.java,model.IteratorMetalFriendArray,next/0,friend,1
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/ClimbingFriendArrayList.java,model.ClimbingFriendArrayList,addItem/1[java.lang.String],str,1
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/ClimbingFriendArrayList.java,model.ClimbingFriendArrayList,addItem/1[java.lang.String],friend,1
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/FriendViewer.java,model.FriendViewer,FriendViewer/1[model.Collection],friendlist,2
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/FriendViewer.java,model.FriendViewer,printList/0,iterator,2
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/FriendViewer.java,model.FriendViewer,printList/0,item,1
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/IteratorClimbingFriendStack.java,model.IteratorClimbingFriendStack,IteratorClimbingFriendStack/1[java.util.Stack<model.Friend>],stack,2
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/IteratorClimbingFriendArrayList.java,model.IteratorClimbingFriendArrayList,next/0,friend,1
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/IteratorClimbingFriendArrayList.java,model.IteratorClimbingFriendArrayList,IteratorClimbingFriendArrayList/1[java.util.List<model.Friend>],climbingFriendList,2
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/Friend.java,model.Friend,Friend/1[java.lang.String],friendName,2
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/MetalFriendArray.java,model.MetalFriendArray,addItem/1[java.lang.String],str,1
/root/DesignPatternsDetection/Data/Iterator/NathanStrik_IteratorDesignPattern/ckmetrics/../src/model/MetalFriendArray.java,model.MetalFriendArray,addItem/1[java.lang.String],friend,1
