file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Iterator/SedemQuame_iterator-design-pattern/ckmetrics/../src/com/company/classes/Channel.java,com.company.classes.Channel,getTYPE/0,TYPE,1
/root/DesignPatternsDetection/Data/Iterator/SedemQuame_iterator-design-pattern/ckmetrics/../src/com/company/classes/Channel.java,com.company.classes.Channel,getFrequency/0,frequency,1
/root/DesignPatternsDetection/Data/Iterator/SedemQuame_iterator-design-pattern/ckmetrics/../src/com/company/classes/Channel.java,com.company.classes.Channel,"Channel/2[double,com.company.enumerator.ChannelTypeEnum]",TYPE,1
/root/DesignPatternsDetection/Data/Iterator/SedemQuame_iterator-design-pattern/ckmetrics/../src/com/company/classes/Channel.java,com.company.classes.Channel,"Channel/2[double,com.company.enumerator.ChannelTypeEnum]",frequency,1
/root/DesignPatternsDetection/Data/Iterator/SedemQuame_iterator-design-pattern/ckmetrics/../src/com/company/classes/Channel.java,com.company.classes.Channel,toString/0,TYPE,1
/root/DesignPatternsDetection/Data/Iterator/SedemQuame_iterator-design-pattern/ckmetrics/../src/com/company/classes/Channel.java,com.company.classes.Channel,toString/0,frequency,1
/root/DesignPatternsDetection/Data/Iterator/SedemQuame_iterator-design-pattern/ckmetrics/../src/com/company/classes/ChannelCollectionImpl.java,com.company.classes.ChannelCollectionImpl$ChannelIteratorImpl,next/0,channels,1
/root/DesignPatternsDetection/Data/Iterator/SedemQuame_iterator-design-pattern/ckmetrics/../src/com/company/classes/ChannelCollectionImpl.java,com.company.classes.ChannelCollectionImpl$ChannelIteratorImpl,next/0,position,2
/root/DesignPatternsDetection/Data/Iterator/SedemQuame_iterator-design-pattern/ckmetrics/../src/com/company/classes/ChannelCollectionImpl.java,com.company.classes.ChannelCollectionImpl$ChannelIteratorImpl,"ChannelIteratorImpl/2[com.company.enumerator.ChannelTypeEnum,java.util.List<com.company.classes.Channel>]",channels,1
/root/DesignPatternsDetection/Data/Iterator/SedemQuame_iterator-design-pattern/ckmetrics/../src/com/company/classes/ChannelCollectionImpl.java,com.company.classes.ChannelCollectionImpl$ChannelIteratorImpl,"ChannelIteratorImpl/2[com.company.enumerator.ChannelTypeEnum,java.util.List<com.company.classes.Channel>]",type,1
/root/DesignPatternsDetection/Data/Iterator/SedemQuame_iterator-design-pattern/ckmetrics/../src/com/company/classes/ChannelCollectionImpl.java,com.company.classes.ChannelCollectionImpl$ChannelIteratorImpl,hasNext/0,channels,2
/root/DesignPatternsDetection/Data/Iterator/SedemQuame_iterator-design-pattern/ckmetrics/../src/com/company/classes/ChannelCollectionImpl.java,com.company.classes.ChannelCollectionImpl$ChannelIteratorImpl,hasNext/0,position,3
/root/DesignPatternsDetection/Data/Iterator/SedemQuame_iterator-design-pattern/ckmetrics/../src/com/company/classes/ChannelCollectionImpl.java,com.company.classes.ChannelCollectionImpl$ChannelIteratorImpl,hasNext/0,type,2
/root/DesignPatternsDetection/Data/Iterator/SedemQuame_iterator-design-pattern/ckmetrics/../src/com/company/classes/ChannelCollectionImpl.java,com.company.classes.ChannelCollectionImpl,removeChannel/1[com.company.classes.Channel],channelsList,1
/root/DesignPatternsDetection/Data/Iterator/SedemQuame_iterator-design-pattern/ckmetrics/../src/com/company/classes/ChannelCollectionImpl.java,com.company.classes.ChannelCollectionImpl,ChannelCollectionImpl/0,channelsList,1
/root/DesignPatternsDetection/Data/Iterator/SedemQuame_iterator-design-pattern/ckmetrics/../src/com/company/classes/ChannelCollectionImpl.java,com.company.classes.ChannelCollectionImpl,addChannel/1[com.company.classes.Channel],channelsList,1
/root/DesignPatternsDetection/Data/Iterator/SedemQuame_iterator-design-pattern/ckmetrics/../src/com/company/classes/ChannelCollectionImpl.java,com.company.classes.ChannelCollectionImpl,iterator/1[com.company.enumerator.ChannelTypeEnum],channelsList,1
