file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/modelo/Produtor.java,br.com.padroes.iterator.listas.modelo.Produtor,"Produtor/2[java.lang.String,java.lang.String]",cpf,3
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/modelo/Produtor.java,br.com.padroes.iterator.listas.modelo.Produtor,"Produtor/2[java.lang.String,java.lang.String]",nome,3
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/modelo/Produtor.java,br.com.padroes.iterator.listas.modelo.Produtor,getId/0,id,1
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/modelo/Produtor.java,br.com.padroes.iterator.listas.modelo.Produtor,toString/0,cpf,1
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/modelo/Produtor.java,br.com.padroes.iterator.listas.modelo.Produtor,toString/0,nome,1
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/modelo/Produtor.java,br.com.padroes.iterator.listas.modelo.Produtor,getCpf/0,cpf,1
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/modelo/Produtor.java,br.com.padroes.iterator.listas.modelo.Produtor,getNome/0,nome,1
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/modelo/Industria.java,br.com.padroes.iterator.listas.modelo.Industria,getCnpj/0,cnpj,1
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/modelo/Industria.java,br.com.padroes.iterator.listas.modelo.Industria,getId/0,id,1
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/modelo/Industria.java,br.com.padroes.iterator.listas.modelo.Industria,"Industria/2[java.lang.String,java.lang.String]",nome,3
