file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/test/java/br/com/padroes/iterator/AppTest.java,br.com.padroes.iterator.AppTest,AppTest/1[java.lang.String],testName,1
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/app/App.java,br.com.padroes.iterator.app.App,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/app/App.java,br.com.padroes.iterator.app.App,main/1[java.lang.String[]],iIt,4
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/app/App.java,br.com.padroes.iterator.app.App,main/1[java.lang.String[]],pIt,4
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/app/App.java,br.com.padroes.iterator.app.App,main/1[java.lang.String[]],clientes,5
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/modelo/Produtor.java,br.com.padroes.iterator.listas.modelo.Produtor,"Produtor/2[java.lang.String,java.lang.String]",cpf,2
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/modelo/Produtor.java,br.com.padroes.iterator.listas.modelo.Produtor,"Produtor/2[java.lang.String,java.lang.String]",nome,2
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/modelo/Industria.java,br.com.padroes.iterator.listas.modelo.Industria,"Industria/2[java.lang.String,java.lang.String]",nome,2
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/modelo/Industria.java,br.com.padroes.iterator.listas.modelo.Industria,"Industria/2[java.lang.String,java.lang.String]",cnpj,2
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/definicao/iteradores/ProdutorIteratorImpl.java,br.com.padroes.iterator.listas.definicao.iteradores.ProdutorIteratorImpl,ProdutorIteratorImpl/1[br.com.padroes.iterator.listas.definicao.ListaClientes],c,2
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/definicao/iteradores/ProdutorIteratorImpl.java,br.com.padroes.iterator.listas.definicao.iteradores.ProdutorIteratorImpl,ProdutorIteratorImpl/1[br.com.padroes.iterator.listas.definicao.ListaClientes],clientes,1
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/definicao/iteradores/ProdutorIteratorImpl.java,br.com.padroes.iterator.listas.definicao.iteradores.ProdutorIteratorImpl,getAtual/0,e,0
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/definicao/iteradores/IndustriaIteratorImpl.java,br.com.padroes.iterator.listas.definicao.iteradores.IndustriaIteratorImpl,IndustriaIteratorImpl/1[br.com.padroes.iterator.listas.definicao.ListaClientes],c,2
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/definicao/iteradores/IndustriaIteratorImpl.java,br.com.padroes.iterator.listas.definicao.iteradores.IndustriaIteratorImpl,IndustriaIteratorImpl/1[br.com.padroes.iterator.listas.definicao.ListaClientes],clientes,1
/root/DesignPatternsDetection/Data/Iterator/thyagopacher_Iterator/ckmetrics/../src/main/java/br/com/padroes/iterator/listas/definicao/iteradores/IndustriaIteratorImpl.java,br.com.padroes.iterator.listas.definicao.iteradores.IndustriaIteratorImpl,getAtual/0,e,0
