file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/MediatorInterface.java,Behavioral.Mediator.MediatorInterface,"addListener/2[Behavioral.Mediator.AbstractListener,java.lang.String]",listener,0
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/MediatorInterface.java,Behavioral.Mediator.MediatorInterface,"addListener/2[Behavioral.Mediator.AbstractListener,java.lang.String]",methodToCall,0
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/MediatorInterface.java,Behavioral.Mediator.MediatorInterface,"notify/2[java.lang.String,Behavioral.Mediator.HandlerInterface]",handler,0
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/MediatorInterface.java,Behavioral.Mediator.MediatorInterface,"notify/2[java.lang.String,Behavioral.Mediator.HandlerInterface]",name,0
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/AbstractListener.java,Behavioral.Mediator.AbstractListener,onEvent/1[Behavioral.Mediator.HandlerInterface],handler,2
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/AbstractListener.java,Behavioral.Mediator.AbstractListener,"toGreet/3[java.lang.String,Behavioral.Mediator.MediatorInterface,Behavioral.Mediator.HandlerInterface]",handler,1
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/AbstractListener.java,Behavioral.Mediator.AbstractListener,"toGreet/3[java.lang.String,Behavioral.Mediator.MediatorInterface,Behavioral.Mediator.HandlerInterface]",listenerName,2
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/AbstractListener.java,Behavioral.Mediator.AbstractListener,"toGreet/3[java.lang.String,Behavioral.Mediator.MediatorInterface,Behavioral.Mediator.HandlerInterface]",messages,3
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/AbstractListener.java,Behavioral.Mediator.AbstractListener,"toGreet/3[java.lang.String,Behavioral.Mediator.MediatorInterface,Behavioral.Mediator.HandlerInterface]",mediator,1
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/HandlerInterface.java,Behavioral.Mediator.HandlerInterface,setMessage/1[java.lang.String],message,0
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/Mediator.java,Behavioral.Mediator.Mediator,"addListener/2[Behavioral.Mediator.AbstractListener,java.lang.String]",listener,2
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/Mediator.java,Behavioral.Mediator.Mediator,"addListener/2[Behavioral.Mediator.AbstractListener,java.lang.String]",name,5
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/Mediator.java,Behavioral.Mediator.Mediator,"addListener/2[Behavioral.Mediator.AbstractListener,java.lang.String]",methodToCall,1
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/Mediator.java,Behavioral.Mediator.Mediator,"notify/2[java.lang.String,Behavioral.Mediator.HandlerInterface]",handler,1
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/Mediator.java,Behavioral.Mediator.Mediator,"notify/2[java.lang.String,Behavioral.Mediator.HandlerInterface]",method,1
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/Mediator.java,Behavioral.Mediator.Mediator,"notify/2[java.lang.String,Behavioral.Mediator.HandlerInterface]",name,4
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/Mediator.java,Behavioral.Mediator.Mediator,"notify/2[java.lang.String,Behavioral.Mediator.HandlerInterface]",listener,2
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/Mediator.java,Behavioral.Mediator.Mediator,"notify/2[java.lang.String,Behavioral.Mediator.HandlerInterface]",methodName,1
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/Main.java,Behavioral.Mediator.Main,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/Main.java,Behavioral.Mediator.Main,main/1[java.lang.String[]],handler,3
/root/DesignPatternsDetection/Data/Mediator/Jagepard_JavaDesignPatterns-Mediator/ckmetrics/../src/Behavioral/Mediator/Main.java,Behavioral.Mediator.Main,main/1[java.lang.String[]],listener3,3
