file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/Employee.java,org.trishinfotech.memento.Employee,Employee/1[int],empId,2
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/Employee.java,org.trishinfotech.memento.Employee,restore/1[org.trishinfotech.memento.EmployeeMemento],memento,7
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/Employee.java,org.trishinfotech.memento.Employee,setSalary/1[long],salary,2
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/Employee.java,org.trishinfotech.memento.Employee,setDepartment/1[java.lang.String],department,2
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/Employee.java,org.trishinfotech.memento.Employee,setProject/1[java.lang.String],project,2
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/Employee.java,org.trishinfotech.memento.Employee,setDesignation/1[java.lang.String],designation,2
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/Employee.java,org.trishinfotech.memento.Employee,setName/1[java.lang.String],name,2
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/Main.java,org.trishinfotech.memento.Main,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/Main.java,org.trishinfotech.memento.Main,main/1[java.lang.String[]],caretaker,9
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/Main.java,org.trishinfotech.memento.Main,main/1[java.lang.String[]],micheal,14
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/Main.java,org.trishinfotech.memento.Main,main/1[java.lang.String[]],rachealMemento,7
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/Main.java,org.trishinfotech.memento.Main,main/1[java.lang.String[]],racheal,14
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/Main.java,org.trishinfotech.memento.Main,main/1[java.lang.String[]],michealMemento,7
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/EmployeeMemento.java,org.trishinfotech.memento.EmployeeMemento,"EmployeeMemento/6[int,java.lang.String,java.lang.String,long,java.lang.String,java.lang.String]",empId,2
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/EmployeeMemento.java,org.trishinfotech.memento.EmployeeMemento,"EmployeeMemento/6[int,java.lang.String,java.lang.String,long,java.lang.String,java.lang.String]",name,2
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/EmployeeMemento.java,org.trishinfotech.memento.EmployeeMemento,"EmployeeMemento/6[int,java.lang.String,java.lang.String,long,java.lang.String,java.lang.String]",project,2
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/EmployeeMemento.java,org.trishinfotech.memento.EmployeeMemento,"EmployeeMemento/6[int,java.lang.String,java.lang.String,long,java.lang.String,java.lang.String]",designation,2
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/EmployeeMemento.java,org.trishinfotech.memento.EmployeeMemento,"EmployeeMemento/6[int,java.lang.String,java.lang.String,long,java.lang.String,java.lang.String]",salary,2
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/EmployeeMemento.java,org.trishinfotech.memento.EmployeeMemento,"EmployeeMemento/6[int,java.lang.String,java.lang.String,long,java.lang.String,java.lang.String]",department,2
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/EmployeeCaretaker.java,org.trishinfotech.memento.EmployeeCaretaker,"getMemento/2[int,java.lang.String]",empId,1
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/EmployeeCaretaker.java,org.trishinfotech.memento.EmployeeCaretaker,"getMemento/2[int,java.lang.String]",mementoMessageMap,2
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/EmployeeCaretaker.java,org.trishinfotech.memento.EmployeeCaretaker,"getMemento/2[int,java.lang.String]",memento,4
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/EmployeeCaretaker.java,org.trishinfotech.memento.EmployeeCaretaker,"getMemento/2[int,java.lang.String]",mementoMessage,4
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/EmployeeCaretaker.java,org.trishinfotech.memento.EmployeeCaretaker,printStoredMementoObjects/0,empId,1
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/EmployeeCaretaker.java,org.trishinfotech.memento.EmployeeCaretaker,printStoredMementoObjects/0,mementoMessageMap,1
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/EmployeeCaretaker.java,org.trishinfotech.memento.EmployeeCaretaker,printStoredMementoObjects/0,memento,1
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/EmployeeCaretaker.java,org.trishinfotech.memento.EmployeeCaretaker,printStoredMementoObjects/0,message,1
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/EmployeeCaretaker.java,org.trishinfotech.memento.EmployeeCaretaker,"addMemento/3[int,java.lang.String,org.trishinfotech.memento.EmployeeMemento]",empId,2
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/EmployeeCaretaker.java,org.trishinfotech.memento.EmployeeCaretaker,"addMemento/3[int,java.lang.String,org.trishinfotech.memento.EmployeeMemento]",mementoMessageMap,4
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/EmployeeCaretaker.java,org.trishinfotech.memento.EmployeeCaretaker,"addMemento/3[int,java.lang.String,org.trishinfotech.memento.EmployeeMemento]",memento,3
/root/DesignPatternsDetection/Data/Memento/BrijeshSaxena_design-pattern-memento/ckmetrics/../memento/src/main/java/org/trishinfotech/memento/EmployeeCaretaker.java,org.trishinfotech.memento.EmployeeCaretaker,"addMemento/3[int,java.lang.String,org.trishinfotech.memento.EmployeeMemento]",mementoMessage,4
