file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/Location.java,Memento.Location,toString/0,WINTERHOLD,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/Location.java,Memento.Location,toString/0,WINDHELM,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/Location.java,Memento.Location,toString/0,KINGS_LANDING,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/Location.java,Memento.Location,toString/0,WINTERFELL,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/Location.java,Memento.Location,toString/0,WHITERUN,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,setWeaponType/1[Memento.WeaponType],weaponType,3
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,setName/1[java.lang.String],name,3
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,setExpLevel/1[int],expLevel,3
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,restoreToPreviousSave/1[Memento.Character],name,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,restoreToPreviousSave/1[Memento.Character],expLevel,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,restoreToPreviousSave/1[Memento.Character],weaponType,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,restoreToPreviousSave/1[Memento.Character],location,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,restoreToPreviousSave/1[Memento.Character],weaponName,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,getWeaponType/0,weaponType,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,"CharacterStateSave/5[java.lang.String,int,Memento.Location,java.lang.String,Memento.WeaponType]",name,3
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,"CharacterStateSave/5[java.lang.String,int,Memento.Location,java.lang.String,Memento.WeaponType]",expLevel,3
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,"CharacterStateSave/5[java.lang.String,int,Memento.Location,java.lang.String,Memento.WeaponType]",weaponType,3
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,"CharacterStateSave/5[java.lang.String,int,Memento.Location,java.lang.String,Memento.WeaponType]",location,3
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,"CharacterStateSave/5[java.lang.String,int,Memento.Location,java.lang.String,Memento.WeaponType]",weaponName,3
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,displayCharacterState/0,name,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,displayCharacterState/0,expLevel,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,displayCharacterState/0,weaponType,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,displayCharacterState/0,location,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,displayCharacterState/0,weaponName,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,getName/0,name,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,getWeaponName/0,weaponName,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,setWeaponName/1[java.lang.String],weaponName,3
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,setLocation/1[Memento.Location],location,3
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,save/0,name,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,save/0,expLevel,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,save/0,weaponType,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,save/0,location,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,save/0,weaponName,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,getExpLevel/0,expLevel,1
/root/DesignPatternsDetection/Data/Memento/ShaneMcGinley_Memento/ckmetrics/../src/Memento/CharacterStateSave.java,Memento.CharacterStateSave,getLocation/0,location,1
