file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Memento/cqf073_Memento_Pattern/ckmetrics/../src/Main.java,Main,main/1[java.lang.String[]],false,3,3,1,13,21,0,3,1,13,0,0,0,0,0,0,6,0,3,0,0,0,0,0,9,9,0,false
/root/DesignPatternsDetection/Data/Memento/cqf073_Memento_Pattern/ckmetrics/../src/Action.java,Action,crmemery/0,false,18,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Memento/cqf073_Memento_Pattern/ckmetrics/../src/Action.java,Action,teststate1/0,false,34,0,1,1,6,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Memento/cqf073_Memento_Pattern/ckmetrics/../src/Action.java,Action,restore/1[Memoradum],false,21,2,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Memento/cqf073_Memento_Pattern/ckmetrics/../src/Action.java,Action,teststate/0,false,28,0,1,1,6,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Memento/cqf073_Memento_Pattern/ckmetrics/../src/Action.java,Action,Action/0,true,15,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Memento/cqf073_Memento_Pattern/ckmetrics/../src/Action.java,Action,showstate/0,false,25,0,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,false
/root/DesignPatternsDetection/Data/Memento/cqf073_Memento_Pattern/ckmetrics/../src/Action.java,Action$Memto,"setState/1[java.util.HashMap<java.lang.String,java.lang.String>]",false,51,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Memento/cqf073_Memento_Pattern/ckmetrics/../src/Action.java,Action$Memto,Memto/1[java.util.HashMap],true,43,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Memento/cqf073_Memento_Pattern/ckmetrics/../src/Action.java,Action$Memto,getState/0,false,47,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
