file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/UserDataRepository.java,com.chikeandroid.tutsplusobserverpattern.UserDataRepository,getInstance/0,INSTANCE,3
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/UserDataRepository.java,com.chikeandroid.tutsplusobserverpattern.UserDataRepository,registerObserver/1[com.chikeandroid.tutsplusobserverpattern.RepositoryObserver],mObservers,2
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/UserDataRepository.java,com.chikeandroid.tutsplusobserverpattern.UserDataRepository,removeObserver/1[com.chikeandroid.tutsplusobserverpattern.RepositoryObserver],mObservers,2
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/UserDataRepository.java,com.chikeandroid.tutsplusobserverpattern.UserDataRepository,notifyObservers/0,mAge,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/UserDataRepository.java,com.chikeandroid.tutsplusobserverpattern.UserDataRepository,notifyObservers/0,mFullName,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/UserDataRepository.java,com.chikeandroid.tutsplusobserverpattern.UserDataRepository,notifyObservers/0,mObservers,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/UserDataRepository.java,com.chikeandroid.tutsplusobserverpattern.UserDataRepository,"setUserData/2[java.lang.String,int]",mAge,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/UserDataRepository.java,com.chikeandroid.tutsplusobserverpattern.UserDataRepository,"setUserData/2[java.lang.String,int]",mFullName,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/UserDataRepository.java,com.chikeandroid.tutsplusobserverpattern.UserDataRepository,UserDataRepository/0,mObservers,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/UserProfileActivity.java,com.chikeandroid.tutsplusobserverpattern.UserProfileActivity,"onUserDataChanged/2[java.lang.String,int]",mTextViewUserAge,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/UserProfileActivity.java,com.chikeandroid.tutsplusobserverpattern.UserProfileActivity,"onUserDataChanged/2[java.lang.String,int]",mTextViewUserFullName,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/UserProfileActivity.java,com.chikeandroid.tutsplusobserverpattern.UserProfileActivity,onDestroy/0,mUserDataRepository,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/UserProfileActivity.java,com.chikeandroid.tutsplusobserverpattern.UserProfileActivity,onCreate/1[com.chikeandroid.tutsplusobserverpattern.Bundle],mTextViewUserAge,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/UserProfileActivity.java,com.chikeandroid.tutsplusobserverpattern.UserProfileActivity,onCreate/1[com.chikeandroid.tutsplusobserverpattern.Bundle],mUserDataRepository,2
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/UserProfileActivity.java,com.chikeandroid.tutsplusobserverpattern.UserProfileActivity,onCreate/1[com.chikeandroid.tutsplusobserverpattern.Bundle],mTextViewUserFullName,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/javaobserver/UserDataRepository.java,com.chikeandroid.tutsplusobserverpattern.javaobserver.UserDataRepository,"setUserData/2[java.lang.String,int]",mAge,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/javaobserver/UserDataRepository.java,com.chikeandroid.tutsplusobserverpattern.javaobserver.UserDataRepository,"setUserData/2[java.lang.String,int]",mFullName,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/javaobserver/UserDataRepository.java,com.chikeandroid.tutsplusobserverpattern.javaobserver.UserDataRepository,getInstance/0,INSTANCE,3
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/javaobserver/UserDataRepository.java,com.chikeandroid.tutsplusobserverpattern.javaobserver.UserDataRepository,getAge/0,mAge,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/javaobserver/UserDataRepository.java,com.chikeandroid.tutsplusobserverpattern.javaobserver.UserDataRepository,getFullName/0,mFullName,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/javaobserver/UserProfileActivity.java,com.chikeandroid.tutsplusobserverpattern.javaobserver.UserProfileActivity,onDestroy/0,mUserDataRepositoryObservable,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/javaobserver/UserProfileActivity.java,com.chikeandroid.tutsplusobserverpattern.javaobserver.UserProfileActivity,"update/2[java.util.Observable,java.lang.Object]",mTextViewUserAge,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/javaobserver/UserProfileActivity.java,com.chikeandroid.tutsplusobserverpattern.javaobserver.UserProfileActivity,"update/2[java.util.Observable,java.lang.Object]",mTextViewUserFullName,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/javaobserver/UserProfileActivity.java,com.chikeandroid.tutsplusobserverpattern.javaobserver.UserProfileActivity,onCreate/1[com.chikeandroid.tutsplusobserverpattern.javaobserver.Bundle],mTextViewUserAge,1
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/javaobserver/UserProfileActivity.java,com.chikeandroid.tutsplusobserverpattern.javaobserver.UserProfileActivity,onCreate/1[com.chikeandroid.tutsplusobserverpattern.javaobserver.Bundle],mUserDataRepositoryObservable,2
/root/DesignPatternsDetection/Data/Observer/chikecodes_tutsplus-observer-pattern/ckmetrics/../app/src/main/java/com/chikeandroid/tutsplusobserverpattern/javaobserver/UserProfileActivity.java,com.chikeandroid.tutsplusobserverpattern.javaobserver.UserProfileActivity,onCreate/1[com.chikeandroid.tutsplusobserverpattern.javaobserver.Bundle],mTextViewUserFullName,1
