file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Observer/java9s_observer-pattern-example/ckmetrics/../src/com/java9s/tutorials/designpattern/observer/Stock.java,com.java9s.tutorials.designpattern.observer.Stock,registerObserver/1[com.java9s.tutorials.designpattern.observer.Observer],observer,2
/root/DesignPatternsDetection/Data/Observer/java9s_observer-pattern-example/ckmetrics/../src/com/java9s/tutorials/designpattern/observer/Stock.java,com.java9s.tutorials.designpattern.observer.Stock,updateStockPrice/1[int],updatedPrice,1
/root/DesignPatternsDetection/Data/Observer/java9s_observer-pattern-example/ckmetrics/../src/com/java9s/tutorials/designpattern/observer/Stock.java,com.java9s.tutorials.designpattern.observer.Stock,removeObserver/1[com.java9s.tutorials.designpattern.observer.Observer],observer,2
/root/DesignPatternsDetection/Data/Observer/java9s_observer-pattern-example/ckmetrics/../src/com/java9s/tutorials/designpattern/observer/Stock.java,com.java9s.tutorials.designpattern.observer.Stock,setName/1[java.lang.String],stockName,1
/root/DesignPatternsDetection/Data/Observer/java9s_observer-pattern-example/ckmetrics/../src/com/java9s/tutorials/designpattern/observer/Stock.java,com.java9s.tutorials.designpattern.observer.Stock,notifyObservers/0,observer,1
/root/DesignPatternsDetection/Data/Observer/java9s_observer-pattern-example/ckmetrics/../src/com/java9s/tutorials/designpattern/observer/Stock.java,com.java9s.tutorials.designpattern.observer.Stock,notifyObservers/0,it,2
/root/DesignPatternsDetection/Data/Observer/java9s_observer-pattern-example/ckmetrics/../src/com/java9s/tutorials/designpattern/observer/Exec.java,com.java9s.tutorials.designpattern.observer.Exec,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Observer/java9s_observer-pattern-example/ckmetrics/../src/com/java9s/tutorials/designpattern/observer/Exec.java,com.java9s.tutorials.designpattern.observer.Exec,main/1[java.lang.String[]],apple,3
/root/DesignPatternsDetection/Data/Observer/java9s_observer-pattern-example/ckmetrics/../src/com/java9s/tutorials/designpattern/observer/Exec.java,com.java9s.tutorials.designpattern.observer.Exec,main/1[java.lang.String[]],ibm,3
/root/DesignPatternsDetection/Data/Observer/java9s_observer-pattern-example/ckmetrics/../src/com/java9s/tutorials/designpattern/observer/Exec.java,com.java9s.tutorials.designpattern.observer.Exec,main/1[java.lang.String[]],mobile,3
/root/DesignPatternsDetection/Data/Observer/java9s_observer-pattern-example/ckmetrics/../src/com/java9s/tutorials/designpattern/observer/Exec.java,com.java9s.tutorials.designpattern.observer.Exec,main/1[java.lang.String[]],displayBoard,3
/root/DesignPatternsDetection/Data/Observer/java9s_observer-pattern-example/ckmetrics/../src/com/java9s/tutorials/designpattern/observer/Exec.java,com.java9s.tutorials.designpattern.observer.Exec,main/1[java.lang.String[]],i,2
/root/DesignPatternsDetection/Data/Observer/java9s_observer-pattern-example/ckmetrics/../src/com/java9s/tutorials/designpattern/observer/Exec.java,com.java9s.tutorials.designpattern.observer.Exec,main/1[java.lang.String[]],microsoft,3
/root/DesignPatternsDetection/Data/Observer/java9s_observer-pattern-example/ckmetrics/../src/com/java9s/tutorials/designpattern/observer/Observable.java,com.java9s.tutorials.designpattern.observer.Observable,registerObserver/1[com.java9s.tutorials.designpattern.observer.Observer],observer,0
/root/DesignPatternsDetection/Data/Observer/java9s_observer-pattern-example/ckmetrics/../src/com/java9s/tutorials/designpattern/observer/Observable.java,com.java9s.tutorials.designpattern.observer.Observable,removeObserver/1[com.java9s.tutorials.designpattern.observer.Observer],observer,0
/root/DesignPatternsDetection/Data/Observer/java9s_observer-pattern-example/ckmetrics/../src/com/java9s/tutorials/designpattern/observer/Mobile.java,com.java9s.tutorials.designpattern.observer.Mobile,update/1[com.java9s.tutorials.designpattern.observer.Stock],stock,2
/root/DesignPatternsDetection/Data/Observer/java9s_observer-pattern-example/ckmetrics/../src/com/java9s/tutorials/designpattern/observer/Observer.java,com.java9s.tutorials.designpattern.observer.Observer,update/1[com.java9s.tutorials.designpattern.observer.Stock],stock,0
/root/DesignPatternsDetection/Data/Observer/java9s_observer-pattern-example/ckmetrics/../src/com/java9s/tutorials/designpattern/observer/DisplayBoard.java,com.java9s.tutorials.designpattern.observer.DisplayBoard,update/1[com.java9s.tutorials.designpattern.observer.Stock],stock,2
