file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../universal-remote/src/main/java/com/teamtreehouse/remote/RemoteControl.java,com.teamtreehouse.remote.RemoteControl,pressPowerButton/0,bluRayPlayer,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../universal-remote/src/main/java/com/teamtreehouse/remote/RemoteControl.java,com.teamtreehouse.remote.RemoteControl,pressPowerButton/0,stereo,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../universal-remote/src/main/java/com/teamtreehouse/remote/RemoteControl.java,com.teamtreehouse.remote.RemoteControl,"RemoteControl/2[com.teamtreehouse.remote.devices.BluRayPlayer,com.teamtreehouse.remote.devices.Stereo]",bluRayPlayer,3
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../universal-remote/src/main/java/com/teamtreehouse/remote/RemoteControl.java,com.teamtreehouse.remote.RemoteControl,"RemoteControl/2[com.teamtreehouse.remote.devices.BluRayPlayer,com.teamtreehouse.remote.devices.Stereo]",stereo,3
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../universal-remote/src/main/java/com/teamtreehouse/remote/devices/Device.java,com.teamtreehouse.remote.devices.Device,togglePower/0,isPoweredOn,3
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/tools/Dashboard.java,com.teamtreehouse.restaurant.tools.Dashboard,addTable/1[com.teamtreehouse.restaurant.tables.Table],tables,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/tools/Dashboard.java,com.teamtreehouse.restaurant.tools.Dashboard,render/0,tables,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/tools/Dashboard.java,com.teamtreehouse.restaurant.tools.Dashboard,render/0,SEPARATOR,3
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/tools/Dashboard.java,com.teamtreehouse.restaurant.tools.Dashboard,render/0,executor,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/tools/Dashboard.java,com.teamtreehouse.restaurant.tools.Dashboard,shutdown/0,executor,1
