file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../universal-remote/src/main/java/com/teamtreehouse/remote/RemoteControl.java,com.teamtreehouse.remote.RemoteControl,"RemoteControl/2[com.teamtreehouse.remote.devices.BluRayPlayer,com.teamtreehouse.remote.devices.Stereo]",bluRayPlayer,2
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../universal-remote/src/main/java/com/teamtreehouse/remote/RemoteControl.java,com.teamtreehouse.remote.RemoteControl,"RemoteControl/2[com.teamtreehouse.remote.devices.BluRayPlayer,com.teamtreehouse.remote.devices.Stereo]",stereo,2
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../universal-remote/src/main/java/com/teamtreehouse/remote/Application.java,com.teamtreehouse.remote.Application,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../universal-remote/src/main/java/com/teamtreehouse/remote/Application.java,com.teamtreehouse.remote.Application,main/1[java.lang.String[]],rc,2
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../universal-remote/src/main/java/com/teamtreehouse/remote/Application.java,com.teamtreehouse.remote.Application,main/1[java.lang.String[]],stereo,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../universal-remote/src/main/java/com/teamtreehouse/remote/Application.java,com.teamtreehouse.remote.Application,main/1[java.lang.String[]],bluRay,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../universal-remote/src/main/java/com/teamtreehouse/remote/devices/Device.java,com.teamtreehouse.remote.devices.Device,"announce/2[java.lang.String,java.lang.Object[]]",args,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../universal-remote/src/main/java/com/teamtreehouse/remote/devices/Device.java,com.teamtreehouse.remote.devices.Device,"announce/2[java.lang.String,java.lang.Object[]]",message,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../gold-watcher/src/main/java/com/teamtreehouse/goldwatcher/tools/LedLight.java,com.teamtreehouse.goldwatcher.tools.LedLight,flashColors/1[java.lang.String[]],colors,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../gold-watcher/src/main/java/com/teamtreehouse/goldwatcher/tools/Tweeter.java,com.teamtreehouse.goldwatcher.tools.Tweeter,tweet/1[java.lang.String],message,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../gold-watcher/src/main/java/com/teamtreehouse/goldwatcher/tools/MegaTron.java,com.teamtreehouse.goldwatcher.tools.MegaTron,display/1[java.lang.String],message,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../gold-watcher/src/main/java/com/teamtreehouse/goldwatcher/GoldMedalReporter.java,com.teamtreehouse.goldwatcher.GoldMedalReporter,reportWin/1[java.lang.String],country,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../gold-watcher/src/main/java/com/teamtreehouse/goldwatcher/Example.java,com.teamtreehouse.goldwatcher.Example,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../gold-watcher/src/main/java/com/teamtreehouse/goldwatcher/Example.java,com.teamtreehouse.goldwatcher.Example,main/1[java.lang.String[]],light,0
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../gold-watcher/src/main/java/com/teamtreehouse/goldwatcher/Example.java,com.teamtreehouse.goldwatcher.Example,main/1[java.lang.String[]],colorsByCountry,0
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../gold-watcher/src/main/java/com/teamtreehouse/goldwatcher/Example.java,com.teamtreehouse.goldwatcher.Example,main/1[java.lang.String[]],megaTron,0
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../gold-watcher/src/main/java/com/teamtreehouse/goldwatcher/Example.java,com.teamtreehouse.goldwatcher.Example,main/1[java.lang.String[]],reporter,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../gold-watcher/src/main/java/com/teamtreehouse/goldwatcher/Example.java,com.teamtreehouse.goldwatcher.Example,getColorsByCountry/0,colorsByCountry,3
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/tools/Dashboard.java,com.teamtreehouse.restaurant.tools.Dashboard,addTable/1[com.teamtreehouse.restaurant.tables.Table],table,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/tools/Dashboard.java,com.teamtreehouse.restaurant.tools.Dashboard,render/0,rows,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/tools/Dashboard.java,com.teamtreehouse.restaurant.tools.Dashboard,render/0,grouping,2
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/tools/Dashboard.java,com.teamtreehouse.restaurant.tools.Dashboard,render/0,table,2
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/tools/Dashboard.java,com.teamtreehouse.restaurant.tools.Dashboard,render/0,status,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/staff/Assistant.java,com.teamtreehouse.restaurant.staff.Assistant,Assistant/1[java.lang.String],name,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/staff/Assistant.java,com.teamtreehouse.restaurant.staff.Assistant,busTable/1[com.teamtreehouse.restaurant.tables.Table],table,4
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/staff/Employee.java,com.teamtreehouse.restaurant.staff.Employee,Employee/1[java.lang.String],name,2
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/staff/Employee.java,com.teamtreehouse.restaurant.staff.Employee,"announce/2[java.lang.String,java.lang.Object[]]",templateArgs,2
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/staff/Employee.java,com.teamtreehouse.restaurant.staff.Employee,"announce/2[java.lang.String,java.lang.Object[]]",message,2
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/staff/Employee.java,com.teamtreehouse.restaurant.staff.Employee,"announce/2[java.lang.String,java.lang.Object[]]",messageTemplate,2
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/staff/Employee.java,com.teamtreehouse.restaurant.staff.Employee,performTask/1[java.lang.Runnable],task,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/staff/Employee.java,com.teamtreehouse.restaurant.staff.Employee,refreshDashboard/1[com.teamtreehouse.restaurant.tools.Dashboard],dashboard,1
/root/DesignPatternsDetection/Data/Observer/treehouse-projects_java-observer-patterns/ckmetrics/../restaurant/src/main/java/com/teamtreehouse/restaurant/staff/Server.java,com.teamtreehouse.restaurant.staff.Server,Server/1[java.lang.String],name,1
