file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Prototype/AlinaShmain_PrototypePattern/ckmetrics/../src/com/company/Book.java,com.company.Book,setYear/1[int],year,2
/root/DesignPatternsDetection/Data/Prototype/AlinaShmain_PrototypePattern/ckmetrics/../src/com/company/Book.java,com.company.Book,doClone/0,book,4
/root/DesignPatternsDetection/Data/Prototype/AlinaShmain_PrototypePattern/ckmetrics/../src/com/company/Book.java,com.company.Book,setName/1[java.lang.String],name,2
/root/DesignPatternsDetection/Data/Prototype/AlinaShmain_PrototypePattern/ckmetrics/../src/com/company/Book.java,com.company.Book,setAuthor/1[java.lang.String],author,2
/root/DesignPatternsDetection/Data/Prototype/AlinaShmain_PrototypePattern/ckmetrics/../src/com/company/Magazine.java,com.company.Magazine,setName/1[java.lang.String],name,2
/root/DesignPatternsDetection/Data/Prototype/AlinaShmain_PrototypePattern/ckmetrics/../src/com/company/Magazine.java,com.company.Magazine,setYear/1[int],year,2
/root/DesignPatternsDetection/Data/Prototype/AlinaShmain_PrototypePattern/ckmetrics/../src/com/company/Magazine.java,com.company.Magazine,setNumber/1[java.lang.String],number,2
/root/DesignPatternsDetection/Data/Prototype/AlinaShmain_PrototypePattern/ckmetrics/../src/com/company/Magazine.java,com.company.Magazine,doClone/0,magazine,4
/root/DesignPatternsDetection/Data/Prototype/AlinaShmain_PrototypePattern/ckmetrics/../src/com/company/BookStore.java,com.company.BookStore,loadCache/0,book,5
/root/DesignPatternsDetection/Data/Prototype/AlinaShmain_PrototypePattern/ckmetrics/../src/com/company/BookStore.java,com.company.BookStore,loadCache/0,magazine,5
/root/DesignPatternsDetection/Data/Prototype/AlinaShmain_PrototypePattern/ckmetrics/../src/com/company/BookStore.java,com.company.BookStore,getItem/1[java.lang.String],type,1
/root/DesignPatternsDetection/Data/Prototype/AlinaShmain_PrototypePattern/ckmetrics/../src/com/company/Main.java,com.company.Main,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Prototype/AlinaShmain_PrototypePattern/ckmetrics/../src/com/company/Main.java,com.company.Main,main/1[java.lang.String[]],bookPrototype,1
/root/DesignPatternsDetection/Data/Prototype/AlinaShmain_PrototypePattern/ckmetrics/../src/com/company/Main.java,com.company.Main,main/1[java.lang.String[]],magazinePrototype,1
