file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Prototype/Chronocast_prototype-pattern-example/ckmetrics/../src/main/java/pokedexApp/RunPokedex.java,pokedexApp.RunPokedex$Anonymous1,"updateItem/2[IPokemon,boolean]",false,156,0,30,6,39,0,0,2,6,0,0,0,0,0,0,28,28,0,0,29,0,0,0,11,1,0,false
/root/DesignPatternsDetection/Data/Prototype/Chronocast_prototype-pattern-example/ckmetrics/../src/main/java/pokedexApp/RunPokedex.java,pokedexApp.RunPokedex,comboBuild/0,false,237,1,1,4,7,1,1,0,4,0,0,0,0,0,0,152,0,2,0,0,0,0,0,5,2,0,false
/root/DesignPatternsDetection/Data/Prototype/Chronocast_prototype-pattern-example/ckmetrics/../src/main/java/pokedexApp/RunPokedex.java,pokedexApp.RunPokedex,eastPane/0,false,134,7,1,12,61,1,5,0,12,0,0,0,0,0,0,1,3,6,0,0,1,0,1,29,2,0,false
/root/DesignPatternsDetection/Data/Prototype/Chronocast_prototype-pattern-example/ckmetrics/../src/main/java/pokedexApp/RunPokedex.java,pokedexApp.RunPokedex,start/1[pokedexApp.Stage],false,70,3,1,6,6,0,0,1,6,1,3,0,0,0,0,2,0,0,0,0,0,0,0,9,1,0,false
/root/DesignPatternsDetection/Data/Prototype/Chronocast_prototype-pattern-example/ckmetrics/../src/main/java/pokedexApp/RunPokedex.java,pokedexApp.RunPokedex,StartScreen/0,false,78,5,1,8,10,1,2,0,8,2,2,0,0,0,0,0,3,2,0,0,0,0,0,12,1,0,false
/root/DesignPatternsDetection/Data/Prototype/Chronocast_prototype-pattern-example/ckmetrics/../src/main/java/pokedexApp/RunPokedex.java,pokedexApp.RunPokedex,westPane/0,false,95,10,2,15,32,1,8,0,15,1,1,0,0,1,0,4,1,8,0,2,0,0,1,34,2,0,false
/root/DesignPatternsDetection/Data/Prototype/Chronocast_prototype-pattern-example/ckmetrics/../src/main/java/pokemon/Squirtle.java,pokemon.Squirtle,toString/0,false,13,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Prototype/Chronocast_prototype-pattern-example/ckmetrics/../src/main/java/pokemon/Squirtle.java,pokemon.Squirtle,clone/0,false,8,1,1,2,4,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,false
/root/DesignPatternsDetection/Data/Prototype/Chronocast_prototype-pattern-example/ckmetrics/../src/main/java/pokemon/Squirtle.java,pokemon.Squirtle,getName/0,false,6,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Prototype/Chronocast_prototype-pattern-example/ckmetrics/../src/main/java/pokemon/Moltres.java,pokemon.Moltres,toString/0,false,13,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
