file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/Demo.java,Demo,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/Demo.java,Demo,main/1[java.lang.String[]],shapesCopy,1
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/Demo.java,Demo,main/1[java.lang.String[]],anotherCircle,1
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/Demo.java,Demo,main/1[java.lang.String[]],shapes,4
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/Demo.java,Demo,main/1[java.lang.String[]],rectangle,4
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/Demo.java,Demo,main/1[java.lang.String[]],circle,6
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/Demo.java,Demo,"cloneAndCompare/2[java.util.List<shapes.Shape>,java.util.List<shapes.Shape>]",shapesCopy,3
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/Demo.java,Demo,"cloneAndCompare/2[java.util.List<shapes.Shape>,java.util.List<shapes.Shape>]",shape,1
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/Demo.java,Demo,"cloneAndCompare/2[java.util.List<shapes.Shape>,java.util.List<shapes.Shape>]",shapes,4
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/Demo.java,Demo,"cloneAndCompare/2[java.util.List<shapes.Shape>,java.util.List<shapes.Shape>]",i,10
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/shapes/Shape.java,shapes.Shape,Shape/1[shapes.Shape],target,4
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/shapes/Shape.java,shapes.Shape,equals/1[java.lang.Object],object2,2
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/shapes/Shape.java,shapes.Shape,equals/1[java.lang.Object],shape2,3
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/shapes/Circle.java,shapes.Circle,Circle/1[shapes.Circle],target,3
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/shapes/Circle.java,shapes.Circle,equals/1[java.lang.Object],object2,3
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/shapes/Circle.java,shapes.Circle,equals/1[java.lang.Object],shape2,1
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/shapes/Rectangle.java,shapes.Rectangle,Rectangle/1[shapes.Rectangle],target,4
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/shapes/Rectangle.java,shapes.Rectangle,equals/1[java.lang.Object],object2,3
/root/DesignPatternsDetection/Data/Prototype/Milkywayrules_prototypePattern/ckmetrics/../src/shapes/Rectangle.java,shapes.Rectangle,equals/1[java.lang.Object],shape2,2
