file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/singleton/concurrencycontrolling/ResourceManager.java,com.android.creationaldesignpatterns.singleton.concurrencycontrolling.ResourceManager,manageResources/0,threadTwo,1
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/singleton/concurrencycontrolling/ResourceManager.java,com.android.creationaldesignpatterns.singleton.concurrencycontrolling.ResourceManager,manageResources/0,printer2,0
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/singleton/concurrencycontrolling/ResourceManager.java,com.android.creationaldesignpatterns.singleton.concurrencycontrolling.ResourceManager,manageResources/0,printer1,0
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/singleton/concurrencycontrolling/ResourceManager.java,com.android.creationaldesignpatterns.singleton.concurrencycontrolling.ResourceManager,manageResources/0,threadOne,1
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/singleton/javaexample/ResourceManager.java,com.android.creationaldesignpatterns.singleton.javaexample.ResourceManager,manageResources/0,printers,2
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/singleton/javaexample/ResourceManager.java,com.android.creationaldesignpatterns.singleton.javaexample.ResourceManager,manageResources/0,printer2,1
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/singleton/javaexample/ResourceManager.java,com.android.creationaldesignpatterns.singleton.javaexample.ResourceManager,manageResources/0,printer,1
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/singleton/javaexample/ResourceManager.java,com.android.creationaldesignpatterns.singleton.javaexample.ResourceManager,processResources/1[java.util.List<Type>],p,0
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/singleton/javaexample/ResourceManager.java,com.android.creationaldesignpatterns.singleton.javaexample.ResourceManager,processResources/1[java.util.List<Type>],list,1
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/abstractfactory/complete/FactoryCreator.java,com.android.creationaldesignpatterns.abstractfactory.complete.FactoryCreator,createFactory/1[java.lang.String],type,2
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/abstractfactory/complete/BikeBuilder.java,com.android.creationaldesignpatterns.abstractfactory.complete.BikeBuilder,createBikeWithAbstractFactory/1[java.lang.String],tireBack,1
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/abstractfactory/complete/BikeBuilder.java,com.android.creationaldesignpatterns.abstractfactory.complete.BikeBuilder,createBikeWithAbstractFactory/1[java.lang.String],bikeFactory,3
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/abstractfactory/complete/BikeBuilder.java,com.android.creationaldesignpatterns.abstractfactory.complete.BikeBuilder,createBikeWithAbstractFactory/1[java.lang.String],handlebar,1
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/abstractfactory/complete/BikeBuilder.java,com.android.creationaldesignpatterns.abstractfactory.complete.BikeBuilder,createBikeWithAbstractFactory/1[java.lang.String],type,1
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/abstractfactory/complete/BikeBuilder.java,com.android.creationaldesignpatterns.abstractfactory.complete.BikeBuilder,createBikeWithAbstractFactory/1[java.lang.String],tireFront,1
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/abstractfactory/complete/BikeBuilder.java,com.android.creationaldesignpatterns.abstractfactory.complete.BikeBuilder,createBikeWithoutAbstractFactory/0,montainBikeTireBack,1
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/abstractfactory/complete/BikeBuilder.java,com.android.creationaldesignpatterns.abstractfactory.complete.BikeBuilder,createBikeWithoutAbstractFactory/0,montainBikeHandlebar,1
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/abstractfactory/complete/BikeBuilder.java,com.android.creationaldesignpatterns.abstractfactory.complete.BikeBuilder,createBikeWithoutAbstractFactory/0,montainBikeTireFront,1
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/abstractfactory/extentible/FactoryCreator.java,com.android.creationaldesignpatterns.abstractfactory.extentible.FactoryCreator,createFactory/1[java.lang.String],type,2
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/abstractfactory/extentible/MontainBikeFactory.java,com.android.creationaldesignpatterns.abstractfactory.extentible.MontainBikeFactory,create/1[java.lang.String],type,2
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/abstractfactory/extentible/RoadBikeFactory.java,com.android.creationaldesignpatterns.abstractfactory.extentible.RoadBikeFactory,create/1[java.lang.String],type,2
/root/DesignPatternsDetection/Data/Prototype/ZahraHeydari_CreationalDesignPatternsSample/ckmetrics/../app/src/main/java/com/android/creationaldesignpatterns/abstractfactory/extentible/BikeBuilder.java,com.android.creationaldesignpatterns.abstractfactory.extentible.BikeBuilder,createBikeWithExtentibleAbstractFactory/1[java.lang.String],tireBack,1
