file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Shape.java,Shape,equals/1[java.lang.Object],false,22,1,4,1,5,2,1,1,1,0,0,0,2,0,1,0,0,1,0,1,0,0,0,8,1,0,false
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Shape.java,Shape,Shape/1[Shape],true,11,1,2,0,7,0,0,1,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Shape.java,Shape,clone/0,false,19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,false
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Shape.java,Shape,Shape/0,true,8,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Circle.java,Circle,equals/1[java.lang.Object],false,20,1,4,1,5,2,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,7,1,0,false
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Circle.java,Circle,Circle/1[Circle],true,7,1,2,0,6,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Circle.java,Circle,clone/0,false,15,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Circle.java,Circle,Circle/0,true,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Main.java,Main,main/1[java.lang.String[]],false,6,4,1,3,18,0,5,1,3,1,1,0,0,0,0,2,5,12,0,0,0,0,0,12,9,0,false
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Main.java,Main,"cloneAndCompare/2[java.util.List<Shape>,java.util.List<Shape>]",false,28,1,5,6,19,0,1,2,6,0,0,2,1,0,0,4,1,1,4,3,0,0,0,20,10,0,false
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Rectangle.java,Rectangle,equals/1[java.lang.Object],false,22,1,5,1,5,2,1,1,1,0,0,0,2,0,1,0,0,1,0,1,0,0,0,8,1,0,false
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Rectangle.java,Rectangle,clone/0,false,17,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Rectangle.java,Rectangle,Rectangle/0,true,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Rectangle.java,Rectangle,Rectangle/1[Rectangle],true,8,1,2,0,7,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,3,1,0,false
