file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Shape.java,Shape,equals/1[java.lang.Object],object2,2
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Shape.java,Shape,equals/1[java.lang.Object],shape2,3
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Shape.java,Shape,Shape/1[Shape],target,4
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Circle.java,Circle,equals/1[java.lang.Object],object2,3
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Circle.java,Circle,equals/1[java.lang.Object],shape2,1
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Circle.java,Circle,Circle/1[Circle],target,3
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Main.java,Main,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Main.java,Main,main/1[java.lang.String[]],shapesCopy,1
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Main.java,Main,main/1[java.lang.String[]],anotherCircle,1
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Main.java,Main,main/1[java.lang.String[]],shapes,4
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Main.java,Main,main/1[java.lang.String[]],rectangle,3
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Main.java,Main,main/1[java.lang.String[]],circle,7
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Main.java,Main,"cloneAndCompare/2[java.util.List<Shape>,java.util.List<Shape>]",shapesCopy,3
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Main.java,Main,"cloneAndCompare/2[java.util.List<Shape>,java.util.List<Shape>]",shape,1
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Main.java,Main,"cloneAndCompare/2[java.util.List<Shape>,java.util.List<Shape>]",shapes,4
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Main.java,Main,"cloneAndCompare/2[java.util.List<Shape>,java.util.List<Shape>]",i,10
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Rectangle.java,Rectangle,equals/1[java.lang.Object],object2,3
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Rectangle.java,Rectangle,equals/1[java.lang.Object],shape2,2
/root/DesignPatternsDetection/Data/Prototype/atsarenko_Prototype/ckmetrics/../src/Rectangle.java,Rectangle,Rectangle/1[Rectangle],target,4
