file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Prototype/cqf073_Prototype_pattern/ckmetrics/../src/primary/person_information.java,primary.person_information,"setSex_age/2[java.lang.String,java.lang.String]",false,22,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Prototype/cqf073_Prototype_pattern/ckmetrics/../src/primary/person_information.java,primary.person_information,"setCompany_work_time/2[java.lang.String,java.lang.String]",false,27,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Prototype/cqf073_Prototype_pattern/ckmetrics/../src/primary/person_information.java,primary.person_information,setName/1[java.lang.String],false,18,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Prototype/cqf073_Prototype_pattern/ckmetrics/../src/primary/person_information.java,primary.person_information,show/0,false,32,0,1,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,1,0,false
/root/DesignPatternsDetection/Data/Prototype/cqf073_Prototype_pattern/ckmetrics/../src/primary/primary_test.java,primary.primary_test,main/1[java.lang.String[]],false,13,1,1,4,12,0,2,1,4,0,0,0,0,0,0,10,0,2,0,0,0,0,0,6,9,0,false
/root/DesignPatternsDetection/Data/Prototype/cqf073_Prototype_pattern/ckmetrics/../src/senior/person_information.java,senior.person_information,"setSex_age/2[java.lang.String,java.lang.String]",false,23,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
/root/DesignPatternsDetection/Data/Prototype/cqf073_Prototype_pattern/ckmetrics/../src/senior/person_information.java,senior.person_information,"setCompany_work_time/2[java.lang.String,java.lang.String]",false,28,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Prototype/cqf073_Prototype_pattern/ckmetrics/../src/senior/person_information.java,senior.person_information,person_information/1[java.lang.String],true,19,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Prototype/cqf073_Prototype_pattern/ckmetrics/../src/senior/person_information.java,senior.person_information,show/0,false,33,0,1,1,4,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,7,1,0,false
/root/DesignPatternsDetection/Data/Prototype/cqf073_Prototype_pattern/ckmetrics/../src/senior/person_information.java,senior.person_information,clone/0,false,38,1,2,2,9,2,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,1,0,false
/root/DesignPatternsDetection/Data/Prototype/cqf073_Prototype_pattern/ckmetrics/../src/senior/middle_test.java,senior.middle_test,main/1[java.lang.String[]],false,14,1,1,4,12,0,3,1,4,0,0,0,0,0,0,9,0,3,0,0,0,0,0,7,9,0,false
