file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Prototype/czq2019_PrototypePattern/ckmetrics/../src/Prototype/Shape.java,Prototype.Shape,getId/0,false,8,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Prototype/czq2019_PrototypePattern/ckmetrics/../src/Prototype/Shape.java,Prototype.Shape,draw/0,false,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1024,0,false
/root/DesignPatternsDetection/Data/Prototype/czq2019_PrototypePattern/ckmetrics/../src/Prototype/Shape.java,Prototype.Shape,clone/0,false,17,0,2,2,10,1,1,0,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,8,1,0,false
/root/DesignPatternsDetection/Data/Prototype/czq2019_PrototypePattern/ckmetrics/../src/Prototype/Shape.java,Prototype.Shape,getType/0,false,14,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Prototype/czq2019_PrototypePattern/ckmetrics/../src/Prototype/Shape.java,Prototype.Shape,setId/1[java.lang.String],false,11,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Prototype/czq2019_PrototypePattern/ckmetrics/../src/Prototype/Circle.java,Prototype.Circle,draw/0,false,9,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,false
/root/DesignPatternsDetection/Data/Prototype/czq2019_PrototypePattern/ckmetrics/../src/Prototype/Circle.java,Prototype.Circle,Circle/0,true,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Prototype/czq2019_PrototypePattern/ckmetrics/../src/Prototype/PrototypePatternDemo.java,Prototype.PrototypePatternDemo,main/1[java.lang.String[]],false,4,2,1,4,9,0,3,1,4,0,0,0,0,0,0,6,0,3,3,0,0,0,0,6,9,0,false
/root/DesignPatternsDetection/Data/Prototype/czq2019_PrototypePattern/ckmetrics/../src/Prototype/Rectangle.java,Prototype.Rectangle,draw/0,false,9,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,false
/root/DesignPatternsDetection/Data/Prototype/czq2019_PrototypePattern/ckmetrics/../src/Prototype/Rectangle.java,Prototype.Rectangle,Rectangle/0,true,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Prototype/czq2019_PrototypePattern/ckmetrics/../src/Prototype/Square.java,Prototype.Square,draw/0,false,9,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,false
/root/DesignPatternsDetection/Data/Prototype/czq2019_PrototypePattern/ckmetrics/../src/Prototype/Square.java,Prototype.Square,Square/0,true,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Prototype/czq2019_PrototypePattern/ckmetrics/../src/Prototype/ShapeCache.java,Prototype.ShapeCache,getShape/1[java.lang.String],false,9,1,1,2,4,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,false
/root/DesignPatternsDetection/Data/Prototype/czq2019_PrototypePattern/ckmetrics/../src/Prototype/ShapeCache.java,Prototype.ShapeCache,loadCache/0,false,16,4,1,3,11,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,8,9,0,false
