file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Arvore.java,prototype.Arvore,Arvore/1[prototype.Arvore],arvore,2
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Arvore.java,prototype.Arvore,"Arvore/2[java.lang.String,float]",especie,2
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Arvore.java,prototype.Arvore,"Arvore/2[java.lang.String,float]",altura,2
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Lago.java,prototype.Lago,Lago/1[prototype.Lago],lago,3
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Lago.java,prototype.Lago,"Lago/3[float,float,float]",largura,2
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Lago.java,prototype.Lago,"Lago/3[float,float,float]",comprimento,2
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Lago.java,prototype.Lago,"Lago/3[float,float,float]",profundidade,2
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Main.java,prototype.Main,main/1[java.lang.String[]],lista,9
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Main.java,prototype.Main,main/1[java.lang.String[]],lista2,9
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Main.java,prototype.Main,main/1[java.lang.String[]],d1,4
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Main.java,prototype.Main,main/1[java.lang.String[]],folhagem,3
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Main.java,prototype.Main,main/1[java.lang.String[]],c1,4
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Main.java,prototype.Main,main/1[java.lang.String[]],d2,4
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Main.java,prototype.Main,main/1[java.lang.String[]],b1,4
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Main.java,prototype.Main,main/1[java.lang.String[]],c2,4
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Main.java,prototype.Main,main/1[java.lang.String[]],lago,4
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Main.java,prototype.Main,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Main.java,prototype.Main,main/1[java.lang.String[]],a1,4
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Main.java,prototype.Main,main/1[java.lang.String[]],b2,4
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Main.java,prototype.Main,main/1[java.lang.String[]],a2,4
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Main.java,prototype.Main,main/1[java.lang.String[]],lista4,9
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Main.java,prototype.Main,main/1[java.lang.String[]],lista3,9
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Main.java,prototype.Main,main/1[java.lang.String[]],arvore,3
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Main.java,prototype.Main,main/1[java.lang.String[]],ponte,3
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Folhagem.java,prototype.Folhagem,"Folhagem/2[java.lang.String,java.lang.String]",especie,2
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Folhagem.java,prototype.Folhagem,"Folhagem/2[java.lang.String,java.lang.String]",cor,2
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Folhagem.java,prototype.Folhagem,Folhagem/1[prototype.Folhagem],folhagem,2
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Ponte.java,prototype.Ponte,"Ponte/2[float,float]",largura,2
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Ponte.java,prototype.Ponte,"Ponte/2[float,float]",comprimento,2
/root/DesignPatternsDetection/Data/Prototype/euygor_Prototype/ckmetrics/../src/prototype/Ponte.java,prototype.Ponte,Ponte/1[prototype.Ponte],ponte,2
