file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Prototype/milicaklaric_Prototype/ckmetrics/../src/AbstractProductB/SetProperties.java,AbstractProductB.SetProperties,main/1[java.lang.String[]],false,18,0,4,3,23,0,2,1,3,0,0,0,1,2,0,9,0,3,0,3,0,0,0,28,9,0,false
/root/DesignPatternsDetection/Data/Prototype/milicaklaric_Prototype/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,deleteRecord/1[DomainClasses.GeneralDObject],false,80,2,1,3,4,1,1,1,3,1,2,0,0,0,0,2,0,1,1,0,0,0,0,16,1,0,false
/root/DesignPatternsDetection/Data/Prototype/milicaklaric_Prototype/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,executeUpdate/1[java.lang.String],false,97,1,3,6,17,1,3,1,6,1,1,0,0,1,0,0,1,6,0,2,0,0,0,16,1,0,false
/root/DesignPatternsDetection/Data/Prototype/milicaklaric_Prototype/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"close/3[java.sql.Connection,java.sql.Statement,java.sql.ResultSet]",false,151,1,7,6,26,0,0,3,6,0,0,0,3,3,0,0,0,0,0,2,0,0,0,11,1,0,false
/root/DesignPatternsDetection/Data/Prototype/milicaklaric_Prototype/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,rollbackTransation/0,false,139,0,2,1,9,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,1,0,false
/root/DesignPatternsDetection/Data/Prototype/milicaklaric_Prototype/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"getCounter/2[DomainClasses.GeneralDObject,java.util.concurrent.atomic.AtomicInteger]",false,52,2,2,10,20,1,4,2,10,1,1,0,0,1,0,3,1,8,2,1,0,0,0,30,1,0,false
/root/DesignPatternsDetection/Data/Prototype/milicaklaric_Prototype/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,updateRecord/1[DomainClasses.GeneralDObject],false,92,2,1,4,4,1,1,1,4,1,2,0,0,0,0,3,0,1,1,0,0,0,0,15,1,0,false
/root/DesignPatternsDetection/Data/Prototype/milicaklaric_Prototype/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,closeConnection/0,false,147,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Prototype/milicaklaric_Prototype/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,insertRecord/1[DomainClasses.GeneralDObject],false,43,2,1,3,4,1,1,1,3,1,2,0,0,0,0,3,0,1,1,0,0,0,0,19,1,0,false
/root/DesignPatternsDetection/Data/Prototype/milicaklaric_Prototype/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,makeConnection/0,false,26,1,2,6,14,2,1,0,6,0,0,0,0,1,0,4,0,2,0,1,0,0,0,26,1,0,false
/root/DesignPatternsDetection/Data/Prototype/milicaklaric_Prototype/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"updateRecord/2[DomainClasses.GeneralDObject,DomainClasses.GeneralDObject]",false,86,2,1,4,4,1,1,2,4,1,2,0,0,0,0,3,0,1,1,0,0,0,0,15,1,0,false
/root/DesignPatternsDetection/Data/Prototype/milicaklaric_Prototype/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,findRecord/1[DomainClasses.GeneralDObject],false,112,2,3,10,20,1,4,1,10,1,1,0,1,1,0,2,0,8,1,2,0,0,0,28,1,0,false
/root/DesignPatternsDetection/Data/Prototype/milicaklaric_Prototype/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,"increaseCounter/2[DomainClasses.GeneralDObject,java.util.concurrent.atomic.AtomicInteger]",false,74,2,1,3,4,1,1,2,3,1,2,0,0,0,0,3,0,1,1,0,0,0,0,17,1,0,false
/root/DesignPatternsDetection/Data/Prototype/milicaklaric_Prototype/ckmetrics/../src/AbstractProductB/BrokerBazePodataka1.java,AbstractProductB.BrokerBazePodataka1,commitTransation/0,false,131,0,2,1,9,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,1,0,false
/root/DesignPatternsDetection/Data/Prototype/milicaklaric_Prototype/ckmetrics/../src/AbstractProductB/BrokerBazePodataka.java,AbstractProductB.BrokerBazePodataka,makeConnection/0,false,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,false
/root/DesignPatternsDetection/Data/Prototype/milicaklaric_Prototype/ckmetrics/../src/AbstractProductB/BrokerBazePodataka.java,AbstractProductB.BrokerBazePodataka,rollbackTransation/0,false,31,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,false
