file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/CarVW.java,CarVW,setMake/1[java.lang.String],make,2
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/CarVW.java,CarVW,setModel/1[java.lang.String],model,2
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/Client.java,Client,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/DocConfProc.java,DocConfProc,setyear/1[java.lang.String],year,2
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/DocConfProc.java,DocConfProc,setname/1[java.lang.String],name,2
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/DocPeriodicals.java,DocPeriodicals,setyear/1[java.lang.String],year,2
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/DocPeriodicals.java,DocPeriodicals,setname/1[java.lang.String],name,2
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/CarAudi.java,CarAudi,setMake/1[java.lang.String],make,2
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/CarAudi.java,CarAudi,setModel/1[java.lang.String],model,2
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/CarBMW.java,CarBMW,setMake/1[java.lang.String],make,2
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/CarBMW.java,CarBMW,setModel/1[java.lang.String],model,2
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/DocBook.java,DocBook,setyear/1[java.lang.String],year,2
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/DocBook.java,DocBook,setname/1[java.lang.String],name,2
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/CarPrototypeMgr.java,CarPrototypeMgr,"addCar/2[java.lang.String,Prototype]",p,1
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/CarPrototypeMgr.java,CarPrototypeMgr,"addCar/2[java.lang.String,Prototype]",key,1
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/CarPrototypeMgr.java,CarPrototypeMgr,getCar/1[java.lang.String],key,1
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/DocumentPrototypeMgr.java,DocumentPrototypeMgr,getDocument/1[java.lang.String],key,1
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/DocumentPrototypeMgr.java,DocumentPrototypeMgr,"addDocument/2[java.lang.String,Prototype]",p,1
/root/DesignPatternsDetection/Data/Prototype/puneeth-u-bharadwaj_PrototypePattern/ckmetrics/../PrototypePattern/src/DocumentPrototypeMgr.java,DocumentPrototypeMgr,"addDocument/2[java.lang.String,Prototype]",key,1
