file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Prototype/zhamahz_Prototype/ckmetrics/../src/com/company/Shape.java,com.company.Shape,clone/0,false,21,0,2,2,10,1,1,0,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,8,1,0,false
/root/DesignPatternsDetection/Data/Prototype/zhamahz_Prototype/ckmetrics/../src/com/company/Shape.java,com.company.Shape,draw/0,false,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1024,0,false
/root/DesignPatternsDetection/Data/Prototype/zhamahz_Prototype/ckmetrics/../src/com/company/Shape.java,com.company.Shape,setId/1[java.lang.String],false,17,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Prototype/zhamahz_Prototype/ckmetrics/../src/com/company/Shape.java,com.company.Shape,getType/0,false,9,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Prototype/zhamahz_Prototype/ckmetrics/../src/com/company/Shape.java,com.company.Shape,getId/0,false,13,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Prototype/zhamahz_Prototype/ckmetrics/../src/com/company/Circle.java,com.company.Circle,draw/0,false,9,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Prototype/zhamahz_Prototype/ckmetrics/../src/com/company/Circle.java,com.company.Circle,Circle/0,true,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Prototype/zhamahz_Prototype/ckmetrics/../src/com/company/PrototypePatternDemo.java,com.company.PrototypePatternDemo,main/1[java.lang.String[]],false,5,2,1,4,9,0,3,1,4,0,0,0,0,0,0,6,0,3,3,0,0,0,0,6,9,0,false
/root/DesignPatternsDetection/Data/Prototype/zhamahz_Prototype/ckmetrics/../src/com/company/Rectangle.java,com.company.Rectangle,draw/0,false,10,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Prototype/zhamahz_Prototype/ckmetrics/../src/com/company/Rectangle.java,com.company.Rectangle,Rectangle/0,true,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Prototype/zhamahz_Prototype/ckmetrics/../src/com/company/Square.java,com.company.Square,draw/0,false,9,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Prototype/zhamahz_Prototype/ckmetrics/../src/com/company/Square.java,com.company.Square,Square/0,true,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Prototype/zhamahz_Prototype/ckmetrics/../src/com/company/ShapeCache.java,com.company.ShapeCache,getShape/1[java.lang.String],false,9,1,1,2,4,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,0,false
/root/DesignPatternsDetection/Data/Prototype/zhamahz_Prototype/ckmetrics/../src/com/company/ShapeCache.java,com.company.ShapeCache,loadCache/0,false,18,4,1,3,11,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,8,9,0,false
