file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/Parser.java,controllerUnit.Parser,parseFile/1[java.lang.String],localNodeId,1
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/Parser.java,controllerUnit.Parser,getLocalNodeId/0,localNodeId,1
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/Parser.java,controllerUnit.Parser,setLocalNodeId/1[int],localNodeId,1
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/Parser.java,controllerUnit.Parser,getSingleton/0,single,1
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/NodeInfor.java,controllerUnit.NodeInfor,"NodeInfor/4[int,java.lang.String,int,java.lang.String]",hostName,3
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/NodeInfor.java,controllerUnit.NodeInfor,"NodeInfor/4[int,java.lang.String,int,java.lang.String]",port,3
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/NodeInfor.java,controllerUnit.NodeInfor,"NodeInfor/4[int,java.lang.String,int,java.lang.String]",ipAddress,3
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/NodeInfor.java,controllerUnit.NodeInfor,"NodeInfor/4[int,java.lang.String,int,java.lang.String]",nodeId,1
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/NodeInfor.java,controllerUnit.NodeInfor,"NodeInfor/3[int,java.lang.String,int]",hostName,3
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/NodeInfor.java,controllerUnit.NodeInfor,"NodeInfor/3[int,java.lang.String,int]",port,3
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/NodeInfor.java,controllerUnit.NodeInfor,"NodeInfor/3[int,java.lang.String,int]",nodeId,1
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/NodeInfor.java,controllerUnit.NodeInfor,NodeInfor/0,hostName,1
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/NodeInfor.java,controllerUnit.NodeInfor,NodeInfor/0,port,1
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/NodeInfor.java,controllerUnit.NodeInfor,NodeInfor/0,ipAddress,1
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/NodeInfor.java,controllerUnit.NodeInfor,NodeInfor/0,nodeId,1
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/Node.java,controllerUnit.Node,setLocalInfo/1[controllerUnit.NodeInfor],localInfor,1
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/Node.java,controllerUnit.Node,addChannel/1[channelTranportLayer.Channel],channelRemoteMap,1
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/Node.java,controllerUnit.Node,addNeighbor/1[controllerUnit.NodeInfor],neighbors,1
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/MyWriter.java,controllerUnit.MyWriter,clear/0,logFile,1
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/MyWriter.java,controllerUnit.MyWriter,setPrefix/1[java.lang.String],prefix,3
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/MyWriter.java,controllerUnit.MyWriter,open/1[java.lang.String],logFile,1
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/MyWriter.java,controllerUnit.MyWriter,write/1[java.lang.String],logFile,1
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/MyWriter.java,controllerUnit.MyWriter,log/1[java.lang.String],prefix,2
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/MyLogManager.java,controllerUnit.MyLogManager,setDir/1[java.lang.String],curDirectory,1
/root/DesignPatternsDetection/Data/Singleton/Leogaogithub_Mutual-Exclusion-in-Distributed-Systems/ckmetrics/../src/controllerUnit/MyLogManager.java,controllerUnit.MyLogManager,getLog/1[java.lang.String],curDirectory,4
