file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/util/JDBCManager.java,util.JDBCManager,getConnexion/0,e,11
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,populate/0,inhabitants,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,populate/0,firstname,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,populate/0,mayor,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,populate/0,personDAO,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,populate/0,personBO,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,populate/0,i,4
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,populate/0,j,6
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,populate/0,lastname,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,populate/0,emails,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,populate/0,cityBO,4
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,populate/0,phone,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,populate/0,postalcode,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,populate/0,cityDAO,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,populate/0,name,5
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,display/0,listPersonBO,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,display/0,cityBO,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,display/0,cityDAO,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,display/0,personDAO,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,display/0,personBO,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,display/0,listCityBO,3
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/app/MainApp.java,app.MainApp,main/1[java.lang.String[]],e,3
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,delete/1[bo.PersonBO],rowDeleted,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,delete/1[bo.PersonBO],e,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,delete/1[bo.PersonBO],personBO,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,delete/1[bo.PersonBO],statement,3
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,delete/1[bo.PersonBO],sql,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,disconnect/0,ex,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,disconnect/0,e,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,exist/1[bo.PersonBO],result,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,exist/1[bo.PersonBO],personBO,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getAll/0,inhabitants,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getAll/0,firstname,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getAll/0,listPersonBO,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getAll/0,id_person,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getAll/0,mayor,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getAll/0,e,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getAll/0,personBO,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getAll/0,resultSet,12
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getAll/0,sql,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getAll/0,lastname,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getAll/0,emails,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getAll/0,id_city,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getAll/0,cityBO,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getAll/0,phone,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getAll/0,postalcode,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getAll/0,statement,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getAll/0,name,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getById/1[int],inhabitants,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getById/1[int],firstname,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getById/1[int],id_person,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getById/1[int],mayor,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getById/1[int],e,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getById/1[int],personBO,3
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getById/1[int],resultSet,11
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getById/1[int],sql,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getById/1[int],lastname,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getById/1[int],emails,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getById/1[int],id_city,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getById/1[int],cityBO,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getById/1[int],phone,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getById/1[int],postalcode,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getById/1[int],statement,3
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getById/1[int],name,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,update/1[bo.PersonBO],id_city,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,update/1[bo.PersonBO],e,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,update/1[bo.PersonBO],personBO,6
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,update/1[bo.PersonBO],statement,8
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,update/1[bo.PersonBO],rowUpdated,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,update/1[bo.PersonBO],sql,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByEmails/1[java.lang.String],inhabitants,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByEmails/1[java.lang.String],firstname,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByEmails/1[java.lang.String],id_person,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByEmails/1[java.lang.String],mayor,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByEmails/1[java.lang.String],e,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByEmails/1[java.lang.String],personBO,3
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByEmails/1[java.lang.String],resultSet,11
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByEmails/1[java.lang.String],sql,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByEmails/1[java.lang.String],lastname,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByEmails/1[java.lang.String],emails,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByEmails/1[java.lang.String],id_city,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByEmails/1[java.lang.String],cityBO,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByEmails/1[java.lang.String],phone,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByEmails/1[java.lang.String],postalcode,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByEmails/1[java.lang.String],statement,3
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByEmails/1[java.lang.String],name,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByLastname/1[java.lang.String],inhabitants,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByLastname/1[java.lang.String],firstname,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByLastname/1[java.lang.String],listPersonBO,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByLastname/1[java.lang.String],id_person,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByLastname/1[java.lang.String],mayor,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByLastname/1[java.lang.String],e,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByLastname/1[java.lang.String],personBO,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByLastname/1[java.lang.String],resultSet,11
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByLastname/1[java.lang.String],lastname,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByLastname/1[java.lang.String],sql,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByLastname/1[java.lang.String],emails,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByLastname/1[java.lang.String],id_city,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByLastname/1[java.lang.String],cityBO,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByLastname/1[java.lang.String],phone,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByLastname/1[java.lang.String],postalcode,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByLastname/1[java.lang.String],statement,3
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByLastname/1[java.lang.String],name,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByCity/1[bo.CityBO],emails,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByCity/1[bo.CityBO],firstname,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByCity/1[bo.CityBO],listPersonBO,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByCity/1[bo.CityBO],id_person,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByCity/1[bo.CityBO],cityBO,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByCity/1[bo.CityBO],phone,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByCity/1[bo.CityBO],e,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByCity/1[bo.CityBO],statement,3
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByCity/1[bo.CityBO],personBO,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByCity/1[bo.CityBO],resultSet,7
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByCity/1[bo.CityBO],sql,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,getByCity/1[bo.CityBO],lastname,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,connect/0,e,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,add/1[bo.PersonBO],id_city,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,add/1[bo.PersonBO],e,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,add/1[bo.PersonBO],rowInserted,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,add/1[bo.PersonBO],personBO,5
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,add/1[bo.PersonBO],statement,7
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/PersonDAO.java,dao.PersonDAO,add/1[bo.PersonBO],sql,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/exception/CityDAOException.java,dao.exception.CityDAOException,CityDAOException/1[java.lang.Exception],cause,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/exception/PersonDAOException.java,dao.exception.PersonDAOException,PersonDAOException/1[java.lang.Exception],cause,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,delete/1[bo.CityBO],rowDeleted,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,delete/1[bo.CityBO],cityBO,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,delete/1[bo.CityBO],e,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,delete/1[bo.CityBO],statement,3
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,delete/1[bo.CityBO],sql,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,disconnect/0,ex,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,disconnect/0,e,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,getByName/1[java.lang.String],inhabitants,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,getByName/1[java.lang.String],id_city,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,getByName/1[java.lang.String],cityBO,3
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,getByName/1[java.lang.String],mayor,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,getByName/1[java.lang.String],e,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,getByName/1[java.lang.String],postalcode,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,getByName/1[java.lang.String],name,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,getByName/1[java.lang.String],statement,3
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,getByName/1[java.lang.String],resultSet,6
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,getByName/1[java.lang.String],sql,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,update/1[bo.CityBO],cityBO,5
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,update/1[bo.CityBO],e,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,update/1[bo.CityBO],statement,7
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,update/1[bo.CityBO],rowUpdated,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,update/1[bo.CityBO],sql,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,getAll/0,inhabitants,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,getAll/0,id_city,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,getAll/0,mayor,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,getAll/0,cityBO,2
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,getAll/0,e,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,getAll/0,postalcode,1
/root/DesignPatternsDetection/Data/Singleton/MichelSoko_JDBC2/ckmetrics/../src/dao/CityDAO.java,dao.CityDAO,getAll/0,statement,2
