file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../User.java,User,getName/0,false,14,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../User.java,User,setName/1[java.lang.String],false,18,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../User.java,User,User/1[java.lang.String],true,9,1,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,false
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../User.java,User,getFurnitures/0,false,22,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../User.java,User,setFurnitures/1[java.util.List<Furniture>],false,26,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],false,3,4,1,7,8,0,2,1,7,0,0,0,0,0,0,2,0,2,0,0,0,0,0,6,9,0,false
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Furniture.java,Furniture,setName/1[java.lang.String],false,15,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Furniture.java,Furniture,getPrice/0,false,19,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Furniture.java,Furniture,getName/0,false,11,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Furniture.java,Furniture,"Furniture/2[java.lang.String,int]",true,6,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Furniture.java,Furniture,setPrice/1[int],false,23,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Basket.java,Basket,basket/0,false,3,3,2,7,8,0,2,0,7,0,0,1,0,0,0,2,0,2,0,1,0,0,0,7,9,0,false
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Shopping.java,Shopping,shop/0,false,3,3,1,4,8,0,4,0,4,0,0,0,0,0,0,2,2,4,0,0,0,0,0,8,9,0,false
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Account.java,Account,getInstance/0,false,6,1,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,9,0,false
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Account.java,Account,signIn/1[java.lang.String],false,21,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Account.java,Account,Account/0,true,16,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Account.java,Account,getUser/0,false,25,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
