file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../User.java,User,setName/1[java.lang.String],name,2
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../User.java,User,User/1[java.lang.String],name,2
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../User.java,User,setFurnitures/1[java.util.List<Furniture>],furnitures,2
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],user,1
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Main.java,Main,main/1[java.lang.String[]],account,2
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Furniture.java,Furniture,setName/1[java.lang.String],name,2
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Furniture.java,Furniture,"Furniture/2[java.lang.String,int]",price,2
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Furniture.java,Furniture,"Furniture/2[java.lang.String,int]",name,2
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Furniture.java,Furniture,setPrice/1[int],price,2
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Basket.java,Basket,basket/0,furniture,2
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Basket.java,Basket,basket/0,user,1
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Basket.java,Basket,basket/0,account,1
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Shopping.java,Shopping,shop/0,chair,1
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Shopping.java,Shopping,shop/0,user,2
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Shopping.java,Shopping,shop/0,account,1
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Shopping.java,Shopping,shop/0,table,1
/root/DesignPatternsDetection/Data/Singleton/WildCodeSchool_quest-java-singleton-demo/ckmetrics/../Account.java,Account,signIn/1[java.lang.String],name,1
