file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/androidTest/java/today/tarasov/activityscope/ExampleInstrumentedTest.java,today.tarasov.activityscope.ExampleInstrumentedTest,useAppContext/0,appContext,1
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/dagger/singleton/SingletonComponent.java,today.tarasov.activityscope.dagger.singleton.SingletonComponent,"newComponent/2[today.tarasov.activityscope.dagger.activity.ModuleA,today.tarasov.activityscope.dagger.activity.SharedModule]",a,0
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/dagger/singleton/SingletonComponent.java,today.tarasov.activityscope.dagger.singleton.SingletonComponent,"newComponent/2[today.tarasov.activityscope.dagger.activity.ModuleA,today.tarasov.activityscope.dagger.activity.SharedModule]",shared,0
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/dagger/singleton/SingletonComponent.java,today.tarasov.activityscope.dagger.singleton.SingletonComponent,"newComponent/2[today.tarasov.activityscope.dagger.activity.ModuleB,today.tarasov.activityscope.dagger.activity.SharedModule]",shared,0
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/dagger/singleton/SingletonComponent.java,today.tarasov.activityscope.dagger.singleton.SingletonComponent,"newComponent/2[today.tarasov.activityscope.dagger.activity.ModuleB,today.tarasov.activityscope.dagger.activity.SharedModule]",b,0
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/dagger/activity/ComponentActivityA.java,today.tarasov.activityscope.dagger.activity.ComponentActivityA,inject/1[today.tarasov.activityscope.SharedFragment],fragment,0
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/dagger/activity/ComponentActivityA.java,today.tarasov.activityscope.dagger.activity.ComponentActivityA,inject/1[today.tarasov.activityscope.ActivityA],activity,0
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/dagger/activity/ComponentActivityB.java,today.tarasov.activityscope.dagger.activity.ComponentActivityB,inject/1[today.tarasov.activityscope.SharedFragment],fragment,0
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/dagger/activity/ComponentActivityB.java,today.tarasov.activityscope.dagger.activity.ComponentActivityB,inject/1[today.tarasov.activityscope.ActivityB],activity,0
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/SharedFragment.java,today.tarasov.activityscope.SharedFragment,onAttach/1[today.tarasov.activityscope.Context],context,3
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/SharedFragment.java,today.tarasov.activityscope.SharedFragment,"onCreateView/3[today.tarasov.activityscope.LayoutInflater,today.tarasov.activityscope.ViewGroup,today.tarasov.activityscope.Bundle]",container,1
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/SharedFragment.java,today.tarasov.activityscope.SharedFragment,"onCreateView/3[today.tarasov.activityscope.LayoutInflater,today.tarasov.activityscope.ViewGroup,today.tarasov.activityscope.Bundle]",savedInstanceState,0
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/SharedFragment.java,today.tarasov.activityscope.SharedFragment,"onCreateView/3[today.tarasov.activityscope.LayoutInflater,today.tarasov.activityscope.ViewGroup,today.tarasov.activityscope.Bundle]",view,2
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/SharedFragment.java,today.tarasov.activityscope.SharedFragment,"onCreateView/3[today.tarasov.activityscope.LayoutInflater,today.tarasov.activityscope.ViewGroup,today.tarasov.activityscope.Bundle]",inflater,1
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/SharedFragment.java,today.tarasov.activityscope.SharedFragment$InjectorProvider,inject/1[today.tarasov.activityscope.SharedFragment],fragment,0
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/ActivityA.java,today.tarasov.activityscope.ActivityA,onCreate/1[today.tarasov.activityscope.Bundle],savedInstanceState,1
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/ActivityA.java,today.tarasov.activityscope.ActivityA,onCreate/1[today.tarasov.activityscope.Bundle],tv,1
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/ActivityA.java,today.tarasov.activityscope.ActivityA,inject/1[today.tarasov.activityscope.SharedFragment],fragment,1
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/ActivityB.java,today.tarasov.activityscope.ActivityB,onCreate/1[today.tarasov.activityscope.Bundle],savedInstanceState,1
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/ActivityB.java,today.tarasov.activityscope.ActivityB,onCreate/1[today.tarasov.activityscope.Bundle],tv,1
/root/DesignPatternsDetection/Data/Singleton/d-tarasov_dagger-2-activity-scope/ckmetrics/../app/src/main/java/today/tarasov/activityscope/ActivityB.java,today.tarasov.activityscope.ActivityB,inject/1[today.tarasov.activityscope.SharedFragment],fragment,1
