file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,getFilePathConnectionDB/0,filePathConnectionDB,1
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,getUser/0,user,1
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,getJdbcDriver/0,jdbcDriver,1
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,setUrl/1[java.lang.String],url,3
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,setFilePathConnectionDB/1[java.lang.String],filePathConnectionDB,2
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,setPass/1[java.lang.String],pass,3
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,getPass/0,pass,1
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,setJdbcDriver/1[java.lang.String],jdbcDriver,3
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,getUrl/0,url,1
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,getInstance/0,instance,3
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,setUser/1[java.lang.String],user,3
