file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/SingletonTest.java,com.moztrodev.tuto.designpatterns.singleton.SingletonTest,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/SingletonTest.java,com.moztrodev.tuto.designpatterns.singleton.SingletonTest,main/1[java.lang.String[]],e,1
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/SingletonTest.java,com.moztrodev.tuto.designpatterns.singleton.SingletonTest,main/1[java.lang.String[]],myConnection,1
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,setUrl/1[java.lang.String],url,2
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,setFilePathConnectionDB/1[java.lang.String],filePathConnectionDB,2
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,getConnection/0,conn,2
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,getConnection/0,e,7
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,setPass/1[java.lang.String],pass,2
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,initDataSource/0,properties,4
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,setJdbcDriver/1[java.lang.String],jdbcDriver,2
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,getPropertiesConnection/0,e,3
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,getPropertiesConnection/0,properties,2
/root/DesignPatternsDetection/Data/Singleton/moztro_Singleton-Design-Pattern/ckmetrics/../src/com/moztrodev/tuto/designpatterns/singleton/DataSource.java,com.moztrodev.tuto.designpatterns.singleton.DataSource,setUser/1[java.lang.String],user,2
