file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Singleton/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/test/java/de/thro/inf/prg3/a08/test/OpenMensaAPITests.java,de.thro.inf.prg3.a08.test.OpenMensaAPITests,setup/0,retrofit,1
/root/DesignPatternsDetection/Data/Singleton/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/test/java/de/thro/inf/prg3/a08/test/OpenMensaAPITests.java,de.thro.inf.prg3.a08.test.OpenMensaAPITests,setup/0,client,2
/root/DesignPatternsDetection/Data/Singleton/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/test/java/de/thro/inf/prg3/a08/test/OpenMensaAPITests.java,de.thro.inf.prg3.a08.test.OpenMensaAPITests,setup/0,interceptor,2
/root/DesignPatternsDetection/Data/Singleton/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/test/java/de/thro/inf/prg3/a08/test/OpenMensaAPITests.java,de.thro.inf.prg3.a08.test.OpenMensaAPITests,testGetMeals/0,mealsResponse,1
/root/DesignPatternsDetection/Data/Singleton/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/test/java/de/thro/inf/prg3/a08/test/OpenMensaAPITests.java,de.thro.inf.prg3.a08.test.OpenMensaAPITests,testGetMeals/0,mealsCall,1
/root/DesignPatternsDetection/Data/Singleton/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/test/java/de/thro/inf/prg3/a08/test/OpenMensaAPITests.java,de.thro.inf.prg3.a08.test.OpenMensaAPITests,testGetMeals/0,m,1
/root/DesignPatternsDetection/Data/Singleton/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/test/java/de/thro/inf/prg3/a08/test/OpenMensaAPITests.java,de.thro.inf.prg3.a08.test.OpenMensaAPITests,testGetMeals/0,meals,3
/root/DesignPatternsDetection/Data/Singleton/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/androidTest/java/de/thro/inf/prg3/a08/ExampleInstrumentedTest.java,de.thro.inf.prg3.a08.ExampleInstrumentedTest,useAppContext/0,appContext,1
/root/DesignPatternsDetection/Data/Singleton/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/utils/MealsFilterUtility.java,de.thro.inf.prg3.a08.utils.MealsFilterUtility,filterForVegetarian/1[java.util.List<de.thro.inf.prg3.a08.model.Meal>],result,2
/root/DesignPatternsDetection/Data/Singleton/ohm-softa_08-singleton-factory-strategy-android/ckmetrics/../app/src/main/java/de/thro/inf/prg3/a08/utils/MealsFilterUtility.java,de.thro.inf.prg3.a08.utils.MealsFilterUtility,filterForVegetarian/1[java.util.List<de.thro.inf.prg3.a08.model.Meal>],mealsToFilter,1
