file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Singleton/strayllama_Java_Singleton_design_pattern_example_coding_Universe/ckmetrics/../src/test/java/TestUniverse.java,TestUniverse,moreThanInstanceCanNotBeMadeJustNewReferences/0,universe1,2
/root/DesignPatternsDetection/Data/Singleton/strayllama_Java_Singleton_design_pattern_example_coding_Universe/ckmetrics/../src/test/java/TestUniverse.java,TestUniverse,moreThanInstanceCanNotBeMadeJustNewReferences/0,universe2,2
/root/DesignPatternsDetection/Data/Singleton/strayllama_Java_Singleton_design_pattern_example_coding_Universe/ckmetrics/../src/test/java/TestUniverse.java,TestUniverse,changeNameInSecondReferenceUniverseWhichChangesFirstCOSTHEYISTHESAME/0,universe1,1
/root/DesignPatternsDetection/Data/Singleton/strayllama_Java_Singleton_design_pattern_example_coding_Universe/ckmetrics/../src/test/java/TestUniverse.java,TestUniverse,changeNameInSecondReferenceUniverseWhichChangesFirstCOSTHEYISTHESAME/0,universe2,2
/root/DesignPatternsDetection/Data/Singleton/strayllama_Java_Singleton_design_pattern_example_coding_Universe/ckmetrics/../src/test/java/TestUniverse.java,TestUniverse,BigBangCanMakeUniverse/0,universe1,1
/root/DesignPatternsDetection/Data/Singleton/strayllama_Java_Singleton_design_pattern_example_coding_Universe/ckmetrics/../src/main/java/universe/Universe.java,universe.Universe,"getInstance/2[java.lang.String,int]",name,1
/root/DesignPatternsDetection/Data/Singleton/strayllama_Java_Singleton_design_pattern_example_coding_Universe/ckmetrics/../src/main/java/universe/Universe.java,universe.Universe,"getInstance/2[java.lang.String,int]",numberOfGalaxies,1
/root/DesignPatternsDetection/Data/Singleton/strayllama_Java_Singleton_design_pattern_example_coding_Universe/ckmetrics/../src/main/java/universe/Universe.java,universe.Universe,setName/1[java.lang.String],aNewName,1
/root/DesignPatternsDetection/Data/Singleton/strayllama_Java_Singleton_design_pattern_example_coding_Universe/ckmetrics/../src/main/java/universe/Universe.java,universe.Universe,"Universe/2[java.lang.String,int]",name,2
/root/DesignPatternsDetection/Data/Singleton/strayllama_Java_Singleton_design_pattern_example_coding_Universe/ckmetrics/../src/main/java/universe/Universe.java,universe.Universe,"Universe/2[java.lang.String,int]",numberOfGalaxies,2
/root/DesignPatternsDetection/Data/Singleton/strayllama_Java_Singleton_design_pattern_example_coding_Universe/ckmetrics/../src/main/java/universe/BigBang.java,universe.BigBang,"makeUniverse/2[java.lang.String,int]",name,1
/root/DesignPatternsDetection/Data/Singleton/strayllama_Java_Singleton_design_pattern_example_coding_Universe/ckmetrics/../src/main/java/universe/BigBang.java,universe.BigBang,"makeUniverse/2[java.lang.String,int]",numberOfGalaxies,1
