file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/controller/GameController.java,com.fdmgroup.controller.GameController,printBoard/0,board,1
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/controller/GameController.java,com.fdmgroup.controller.GameController,"gameProcess/2[com.fdmgroup.model.Player,com.fdmgroup.model.Player]",gm,3
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/controller/GameController.java,com.fdmgroup.controller.GameController,"gameProcess/2[com.fdmgroup.model.Player,com.fdmgroup.model.Player]",board,1
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/controller/GameController.java,com.fdmgroup.controller.GameController,GameController/0,board,1
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/controller/GameController.java,com.fdmgroup.controller.GameController,clearBoard/0,board,2
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/controller/GameManager.java,com.fdmgroup.controller.GameManager,checkWinner/0,board,1
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/controller/GameManager.java,com.fdmgroup.controller.GameManager,validInput/1[java.lang.String],board,1
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/controller/GameManager.java,com.fdmgroup.controller.GameManager,GameManager/0,board,1
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/view/StartMenuView.java,com.fdmgroup.view.StartMenuView,setup/0,player1,4
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/view/StartMenuView.java,com.fdmgroup.view.StartMenuView,setup/0,player2,4
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/view/StartMenuView.java,com.fdmgroup.view.StartMenuView,setup/0,scanner,2
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/model/Board.java,com.fdmgroup.model.Board,toString/0,cells,9
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/model/Board.java,com.fdmgroup.model.Board,getBoard/0,instance,3
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/model/Board.java,com.fdmgroup.model.Board,setCells/1[java.lang.String[]],cells,3
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/model/Board.java,com.fdmgroup.model.Board,Board/0,cells,2
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/model/Board.java,com.fdmgroup.model.Board,getCells/0,cells,1
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/model/Player.java,com.fdmgroup.model.Player,getName/0,name,1
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/model/Player.java,com.fdmgroup.model.Player,setName/1[java.lang.String],name,3
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/model/Player.java,com.fdmgroup.model.Player,toString/0,symbol,1
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/model/Player.java,com.fdmgroup.model.Player,toString/0,name,1
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/model/Player.java,com.fdmgroup.model.Player,setSymbol/1[char],symbol,3
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/model/Player.java,com.fdmgroup.model.Player,"Player/2[java.lang.String,char]",symbol,3
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/model/Player.java,com.fdmgroup.model.Player,"Player/2[java.lang.String,char]",name,3
/root/DesignPatternsDetection/Data/Singleton/tfcheung_java-console-app-tic-tac-toe/ckmetrics/../src/com/fdmgroup/model/Player.java,com.fdmgroup.model.Player,getSymbol/0,symbol,1
